Compound,sample,isotope,treatment,tank,tube,enrichment
Dihydroxyacetone phosphate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.18669630153887887
Dihydroxyacetone phosphate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.17569311247156982
Dihydroxyacetone phosphate,13C_High-H1_I21,13C,High,H1,I21,0.14653360961989934
Dihydroxyacetone phosphate,13C_High-H2_I22,13C,High,H2,I22,0.18768477660278501
Dihydroxyacetone phosphate,13C_High-H3_I23,13C,High,H3,I23,0.18600728416225806
Dihydroxyacetone phosphate,13C_High-H4_I24,13C,High,H4,I24,0.157825225459352
Dihydroxyacetone phosphate,13C_High-H5_I25,13C,High,H5,I25,0.17445445583401029
Dihydroxyacetone phosphate,13C_High-H6_I26,13C,High,H6,I26,0.17935554918339683
Fructose-6-phosphate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.18977678941790757
Fructose-6-phosphate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.20996221910535173
Fructose-6-phosphate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.21776464625240813
Fructose-6-phosphate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.21957027238475302
Fructose-6-phosphate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.17702991865497905
Fructose-6-phosphate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.17620626764942235
Fructose-6-phosphate,13C_High-H1_I21,13C,High,H1,I21,0.16725802079233595
Fructose-6-phosphate,13C_High-H2_I22,13C,High,H2,I22,0.2092540197455893
Fructose-6-phosphate,13C_High-H3_I23,13C,High,H3,I23,0.1791471044227491
Fructose-6-phosphate,13C_High-H4_I24,13C,High,H4,I24,0.1548044756468925
Fructose-6-phosphate,13C_High-H5_I25,13C,High,H5,I25,0.17579582283827624
Fructose-6-phosphate,13C_High-H6_I26,13C,High,H6,I26,0.18257710314429262
Glucose-6-phosphate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.20755618520515592
Glucose-6-phosphate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.22417637707818952
Glucose-6-phosphate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.22704640574751514
Glucose-6-phosphate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.2330592827740258
Glucose-6-phosphate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.1886410345098073
Glucose-6-phosphate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.1936987361846977
Glucose-6-phosphate,13C_High-H1_I21,13C,High,H1,I21,0.17229070875108454
Glucose-6-phosphate,13C_High-H2_I22,13C,High,H2,I22,0.2118400850917125
Glucose-6-phosphate,13C_High-H3_I23,13C,High,H3,I23,0.19166591696063562
Glucose-6-phosphate,13C_High-H4_I24,13C,High,H4,I24,0.15951728031147452
Glucose-6-phosphate,13C_High-H5_I25,13C,High,H5,I25,0.17815604659008064
Glucose-6-phosphate,13C_High-H6_I26,13C,High,H6,I26,0.19122873939276422
Glutamate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.15293590767458928
Glutamate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.16521983886366878
Glutamate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.17366994970437305
Glutamate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.1735713280082762
Glutamate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.15680470453793066
Glutamate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.1527513816237631
Glutamate,13C_High-H1_I21,13C,High,H1,I21,0.17349202285299134
Glutamate,13C_High-H2_I22,13C,High,H2,I22,0.18910499962001986
Glutamate,13C_High-H3_I23,13C,High,H3,I23,0.1690869774131353
Glutamate,13C_High-H4_I24,13C,High,H4,I24,0.15942740287312895
Glutamate,13C_High-H5_I25,13C,High,H5,I25,0.1662852076850807
Glutamate,13C_High-H6_I26,13C,High,H6,I26,0.17395532828277785
Glutamine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.08352278749970007
Glutamine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.08937991310336821
Glutamine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.08940635225713552
Glutamine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.08557678403435207
Glutamine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.08367880837216288
Glutamine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.08760061047293055
Glutamine,13C_High-H1_I21,13C,High,H1,I21,0.1281521772156528
Glutamine,13C_High-H2_I22,13C,High,H2,I22,0.1309697745881238
Glutamine,13C_High-H3_I23,13C,High,H3,I23,0.13136947645767844
Glutamine,13C_High-H4_I24,13C,High,H4,I24,0.11270029121641431
Glutamine,13C_High-H5_I25,13C,High,H5,I25,0.12098652779820389
Glutamine,13C_High-H6_I26,13C,High,H6,I26,0.13155793290583512
Glycerol-3-phosphate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.18596039601217104
Glycerol-3-phosphate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.20643032242785977
Glycerol-3-phosphate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.21236654002740166
Glycerol-3-phosphate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.22143507076867633
Glycerol-3-phosphate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.1781442424688736
Glycerol-3-phosphate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.16438853168361586
Glycerol-3-phosphate,13C_High-H1_I21,13C,High,H1,I21,0.14969006110144437
Glycerol-3-phosphate,13C_High-H2_I22,13C,High,H2,I22,0.2083595920267628
Glycerol-3-phosphate,13C_High-H3_I23,13C,High,H3,I23,0.16994163740707804
Glycerol-3-phosphate,13C_High-H4_I24,13C,High,H4,I24,0.16213249011771416
Glycerol-3-phosphate,13C_High-H5_I25,13C,High,H5,I25,0.16473282504982234
Glycerol-3-phosphate,13C_High-H6_I26,13C,High,H6,I26,0.17725075075136343
Glycerophosphocholine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.002576247370866104
Glycerophosphocholine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,3.327465491179627e-4
Glycerophosphocholine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.001849067426586032
Glycerophosphocholine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,7.717819226505721e-4
Glycerophosphocholine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.00202568629581795
Glycerophosphocholine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.0017233026350733367
Glycerophosphocholine,13C_High-H1_I21,13C,High,H1,I21,4.3115046291368676e-4
Glycerophosphocholine,13C_High-H2_I22,13C,High,H2,I22,0
Glycerophosphocholine,13C_High-H3_I23,13C,High,H3,I23,4.0616500399104924e-4
Glycerophosphocholine,13C_High-H4_I24,13C,High,H4,I24,0
Glycerophosphocholine,13C_High-H5_I25,13C,High,H5,I25,0
Glycerophosphocholine,13C_High-H6_I26,13C,High,H6,I26,7.506544639560108e-4
GMP,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.0043132699981030705
GMP,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.004299865603981955
GMP,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.002108574601519428
GMP,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.0031945381020227525
GMP,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.0035915411036619924
GMP,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.0056632530010805315
GMP,13C_High-H1_I21,13C,High,H1,I21,0.002441379768683558
GMP,13C_High-H2_I22,13C,High,H2,I22,0.002641856647911845
GMP,13C_High-H3_I23,13C,High,H3,I23,0.003589595660284164
GMP,13C_High-H4_I24,13C,High,H4,I24,0.002699815041987641
GMP,13C_High-H5_I25,13C,High,H5,I25,0.0025570552837879653
GMP,13C_High-H6_I26,13C,High,H6,I26,0.0031322995356968973
Guanine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.029625801215276793
Guanine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.03164107197484896
Guanine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.01753584366401851
Guanine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.023257888723437495
Guanine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.02496713474967104
Guanine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.05496557592384863
Guanine,13C_High-H1_I21,13C,High,H1,I21,0.061901529122418766
Guanine,13C_High-H2_I22,13C,High,H2,I22,0.011590015908990735
Guanine,13C_High-H3_I23,13C,High,H3,I23,0.07100934987637522
Guanine,13C_High-H4_I24,13C,High,H4,I24,0.04435604840203647
Guanine,13C_High-H5_I25,13C,High,H5,I25,0.07945089214985523
Guanine,13C_High-H6_I26,13C,High,H6,I26,0.0701405942117824
Guanosine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.0034994227896237135
Guanosine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.0030310497397000188
Guanosine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.003086577650435557
Guanosine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.003295779037818919
Guanosine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.0025707061605424898
Guanosine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.0031464429106745143
Guanosine,13C_High-H1_I21,13C,High,H1,I21,0.0022817087209395202
Guanosine,13C_High-H2_I22,13C,High,H2,I22,4.005909154671906e-4
Guanosine,13C_High-H3_I23,13C,High,H3,I23,0.001975831602305583
Guanosine,13C_High-H4_I24,13C,High,H4,I24,0.0014702068556653005
Guanosine,13C_High-H5_I25,13C,High,H5,I25,0.00146787430550136
Guanosine,13C_High-H6_I26,13C,High,H6,I26,0.001831770867995118
Isocitrate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.27139829208907534
Isocitrate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.26932544789495066
Isocitrate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.26215258816258075
Isocitrate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.2678959046516726
Isocitrate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.25356185790789487
Isocitrate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.2596166067026854
Isocitrate,13C_High-H1_I21,13C,High,H1,I21,0.24207367005841096
Isocitrate,13C_High-H2_I22,13C,High,H2,I22,0.22535229793389897
Isocitrate,13C_High-H3_I23,13C,High,H3,I23,0.27847600191917204
Isocitrate,13C_High-H4_I24,13C,High,H4,I24,0.25008699343595414
Isocitrate,13C_High-H5_I25,13C,High,H5,I25,0.2415832413211824
Isocitrate,13C_High-H6_I26,13C,High,H6,I26,0.2654198659678141
L-arginino-succinate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.02059339113973161
L-arginino-succinate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.009847127405534636
L-arginino-succinate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.015579953438991264
L-arginino-succinate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.01135541652800197
L-arginino-succinate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.018163469597825194
L-arginino-succinate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.020918855027893847
L-arginino-succinate,13C_High-H1_I21,13C,High,H1,I21,0.0012053047882296573
L-arginino-succinate,13C_High-H2_I22,13C,High,H2,I22,0
L-arginino-succinate,13C_High-H3_I23,13C,High,H3,I23,0
L-arginino-succinate,13C_High-H4_I24,13C,High,H4,I24,0.010102400925731192
L-arginino-succinate,13C_High-H5_I25,13C,High,H5,I25,0
L-arginino-succinate,13C_High-H6_I26,13C,High,H6,I26,0
Lactate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.15302356222694308
Lactate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.18137434272665284
Lactate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.08935184839786946
Lactate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.10766253324763796
Lactate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.11406742634919091
Lactate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.13577152082064242
Lactate,13C_High-H1_I21,13C,High,H1,I21,0.11845359118684018
Lactate,13C_High-H2_I22,13C,High,H2,I22,0.024834956724963286
Lactate,13C_High-H3_I23,13C,High,H3,I23,0.11569351467202342
Lactate,13C_High-H4_I24,13C,High,H4,I24,0.03191719015875479
Lactate,13C_High-H5_I25,13C,High,H5,I25,0.10767538380941809
Lactate,13C_High-H6_I26,13C,High,H6,I26,0.09442343618112585
Leucine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.003938586975049352
Leucine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.0035551191975767144
Leucine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.00264431350898681
Leucine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.0016672619173141153
Leucine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.0020819342695925385
Leucine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.002271542844483223
Leucine,13C_High-H1_I21,13C,High,H1,I21,0.0010493292626896254
Leucine,13C_High-H2_I22,13C,High,H2,I22,0.0029116591198231506
Leucine,13C_High-H3_I23,13C,High,H3,I23,0.0025467977983972007
Leucine,13C_High-H4_I24,13C,High,H4,I24,0.0017589739468163819
Leucine,13C_High-H5_I25,13C,High,H5,I25,0.0010138743787578418
Leucine,13C_High-H6_I26,13C,High,H6,I26,8.479294934374207e-4
Lysine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.01695814703170741
Lysine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.018563137288548734
Lysine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.01410773556197313
Lysine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.019064492815829285
