Compound,Position,sample,isotope,treatment,tank,tube,label
Glucose-6-phosphate,2,13C_High-H6_I26,13C,High,H6,I26,0.13231369978871677
Glucose-6-phosphate,3,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.12096342924102858
Glucose-6-phosphate,3,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.12890620033327052
Glucose-6-phosphate,3,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.13679307591386744
Glucose-6-phosphate,3,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.13589014965186172
Glucose-6-phosphate,3,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.10791789212069028
Glucose-6-phosphate,3,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.10948616151920137
Glucose-6-phosphate,3,13C_High-H1_I21,13C,High,H1,I21,0.1025589955296243
Glucose-6-phosphate,3,13C_High-H2_I22,13C,High,H2,I22,0.11626772517485724
Glucose-6-phosphate,3,13C_High-H3_I23,13C,High,H3,I23,0.11183585083195713
Glucose-6-phosphate,3,13C_High-H4_I24,13C,High,H4,I24,0.08562495901233629
Glucose-6-phosphate,3,13C_High-H5_I25,13C,High,H5,I25,0.10576445838417704
Glucose-6-phosphate,3,13C_High-H6_I26,13C,High,H6,I26,0.11486292868312709
Glucose-6-phosphate,4,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.06336467152345769
Glucose-6-phosphate,4,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.07151905619161271
Glucose-6-phosphate,4,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.069226384519297815
Glucose-6-phosphate,4,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.07657186995453154
Glucose-6-phosphate,4,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.056363879945804246
Glucose-6-phosphate,4,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.05358022497882572
Glucose-6-phosphate,4,13C_High-H1_I21,13C,High,H1,I21,0.051458496233117094
Glucose-6-phosphate,4,13C_High-H2_I22,13C,High,H2,I22,0.07507947581166849
Glucose-6-phosphate,4,13C_High-H3_I23,13C,High,H3,I23,0.06168651253573434
Glucose-6-phosphate,4,13C_High-H4_I24,13C,High,H4,I24,0.04780784254469924
Glucose-6-phosphate,4,13C_High-H5_I25,13C,High,H5,I25,0.056011128612458376
Glucose-6-phosphate,4,13C_High-H6_I26,13C,High,H6,I26,0.06233265161940543
Glucose-6-phosphate,5,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.02224683359308685
Glucose-6-phosphate,5,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.02744406036148512
Glucose-6-phosphate,5,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.02611333103097256
Glucose-6-phosphate,5,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.028646810004995298
Glucose-6-phosphate,5,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.01956109092966301
Glucose-6-phosphate,5,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.017582723147756114
Glucose-6-phosphate,5,13C_High-H1_I21,13C,High,H1,I21,0.01856858729162541
Glucose-6-phosphate,5,13C_High-H2_I22,13C,High,H2,I22,0.03443069721185374
Glucose-6-phosphate,5,13C_High-H3_I23,13C,High,H3,I23,0.02277592527924966
Glucose-6-phosphate,5,13C_High-H4_I24,13C,High,H4,I24,0.01633136372524929
Glucose-6-phosphate,5,13C_High-H5_I25,13C,High,H5,I25,0.020335271375779777
Glucose-6-phosphate,5,13C_High-H6_I26,13C,High,H6,I26,0.024624938757837726
Glucose-6-phosphate,6,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.0029961387276094997
Glucose-6-phosphate,6,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.0015982706886001439
Glucose-6-phosphate,6,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.00308861723666224
Glucose-6-phosphate,6,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.004169336471385592
Glucose-6-phosphate,6,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.0017303926765774808
Glucose-6-phosphate,6,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.0016699381242190128
Glucose-6-phosphate,6,13C_High-H1_I21,13C,High,H1,I21,0.002385059603662274
Glucose-6-phosphate,6,13C_High-H2_I22,13C,High,H2,I22,4.3067094255348553e-4
Glucose-6-phosphate,6,13C_High-H3_I23,13C,High,H3,I23,0.0010329163869457255
Glucose-6-phosphate,6,13C_High-H4_I24,13C,High,H4,I24,0.0014542195746303941
Glucose-6-phosphate,6,13C_High-H5_I25,13C,High,H5,I25,0.0016328940030102936
Glucose-6-phosphate,6,13C_High-H6_I26,13C,High,H6,I26,4.538420831307654e-4
Fructose-6-phosphate,1,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.15167956432724775
Fructose-6-phosphate,1,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.15936021512550383
Fructose-6-phosphate,1,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.1720287556640159
Fructose-6-phosphate,1,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.1588972956915618
Fructose-6-phosphate,1,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.16069451719500263
Fructose-6-phosphate,1,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.17292351650317836
Fructose-6-phosphate,1,13C_High-H1_I21,13C,High,H1,I21,0.13623157129038294
Fructose-6-phosphate,1,13C_High-H2_I22,13C,High,H2,I22,0.13619114248336023
Fructose-6-phosphate,1,13C_High-H3_I23,13C,High,H3,I23,0.14695700425633507
Fructose-6-phosphate,1,13C_High-H4_I24,13C,High,H4,I24,0.15080133714345553
Fructose-6-phosphate,1,13C_High-H5_I25,13C,High,H5,I25,0.14690702252233934
Fructose-6-phosphate,1,13C_High-H6_I26,13C,High,H6,I26,0.13823540674528986
Fructose-6-phosphate,2,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.1430076597537144
Fructose-6-phosphate,2,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.1572378405297946
Fructose-6-phosphate,2,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.1585415774804392
Fructose-6-phosphate,2,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.16065116813753572
Fructose-6-phosphate,2,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.13695998116202832
Fructose-6-phosphate,2,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.14552638486670944
Fructose-6-phosphate,2,13C_High-H1_I21,13C,High,H1,I21,0.11461254839199973
Fructose-6-phosphate,2,13C_High-H2_I22,13C,High,H2,I22,0.13724696579885398
Fructose-6-phosphate,2,13C_High-H3_I23,13C,High,H3,I23,0.1334796198924092
Fructose-6-phosphate,2,13C_High-H4_I24,13C,High,H4,I24,0.11589490372323007
Fructose-6-phosphate,2,13C_High-H5_I25,13C,High,H5,I25,0.11682746084741065
Fructose-6-phosphate,2,13C_High-H6_I26,13C,High,H6,I26,0.12668270121334352
Fructose-6-phosphate,3,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.12140540900852552
Fructose-6-phosphate,3,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.12059909194052085
Fructose-6-phosphate,3,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.12921107946203653
Fructose-6-phosphate,3,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.13082958945435216
Fructose-6-phosphate,3,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.10520382876448066
Fructose-6-phosphate,3,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.09809743435310866
Fructose-6-phosphate,3,13C_High-H1_I21,13C,High,H1,I21,0.10268455584282432
Fructose-6-phosphate,3,13C_High-H2_I22,13C,High,H2,I22,0.11466059882168214
Fructose-6-phosphate,3,13C_High-H3_I23,13C,High,H3,I23,0.1018257987173373
Fructose-6-phosphate,3,13C_High-H4_I24,13C,High,H4,I24,0.086816829439376
Fructose-6-phosphate,3,13C_High-H5_I25,13C,High,H5,I25,0.09381724544788521
Fructose-6-phosphate,3,13C_High-H6_I26,13C,High,H6,I26,0.11011462456484632
Fructose-6-phosphate,4,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.058842018065645194
Fructose-6-phosphate,4,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.06740732778759843
Fructose-6-phosphate,4,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.07393771594184288
Fructose-6-phosphate,4,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.07239806717927126
Fructose-6-phosphate,4,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.05191222105779614
Fructose-6-phosphate,4,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.05260109350378843
Fructose-6-phosphate,4,13C_High-H1_I21,13C,High,H1,I21,0.05224118466525178
Fructose-6-phosphate,4,13C_High-H2_I22,13C,High,H2,I22,0.08226223122523503
Fructose-6-phosphate,4,13C_High-H3_I23,13C,High,H3,I23,0.05969500232225259
Fructose-6-phosphate,4,13C_High-H4_I24,13C,High,H4,I24,0.04865702749717164
Fructose-6-phosphate,4,13C_High-H5_I25,13C,High,H5,I25,0.056517398963675476
Fructose-6-phosphate,4,13C_High-H6_I26,13C,High,H6,I26,0.0604057719718114
Fructose-6-phosphate,5,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.01866686763429615
Fructose-6-phosphate,5,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.02833178991445463
Fructose-6-phosphate,5,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.026754853235125244
Fructose-6-phosphate,5,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.030515871787807222
Fructose-6-phosphate,5,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.019421592129417548
Fructose-6-phosphate,5,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.015889823779834042
Fructose-6-phosphate,5,13C_High-H1_I21,13C,High,H1,I21,0.0211574620673258
Fructose-6-phosphate,5,13C_High-H2_I22,13C,High,H2,I22,0.03284379394786114
Fructose-6-phosphate,5,13C_High-H3_I23,13C,High,H3,I23,0.021826178817451504
Fructose-6-phosphate,5,13C_High-H4_I24,13C,High,H4,I24,0.016328974424832263
Fructose-6-phosphate,5,13C_High-H5_I25,13C,High,H5,I25,0.026518016235340173
Fructose-6-phosphate,5,13C_High-H6_I26,13C,High,H6,I26,0.02391470620986786
Fructose-6-phosphate,6,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.0013412025355218123
Fructose-6-phosphate,6,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.002141980317131343
Fructose-6-phosphate,6,13C_Ambient-A3_I3,13C,Ambient,A3,I3,5.2933093407850786e-5
Fructose-6-phosphate,6,13C_Ambient-A4_I4,13C,Ambient,A4,I4,4.269343871178908e-4
Fructose-6-phosphate,6,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.0011994502065168007
Fructose-6-phosphate,6,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.0015192539477144962
Fructose-6-phosphate,6,13C_High-H1_I21,13C,High,H1,I21,0.0025476233589207145
Fructose-6-phosphate,6,13C_High-H2_I22,13C,High,H2,I22,0.0012648922145292018
Fructose-6-phosphate,6,13C_High-H3_I23,13C,High,H3,I23,0.0012630138278435636
Fructose-6-phosphate,6,13C_High-H4_I24,13C,High,H4,I24,0.0015853731434105657
Fructose-6-phosphate,6,13C_High-H5_I25,13C,High,H5,I25,0.005683596572906424
Fructose-6-phosphate,6,13C_High-H6_I26,13C,High,H6,I26,0.0020535528437758146
Aconitate,1,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.1362815718604763
Aconitate,1,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.11041722206038963
Aconitate,1,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.1102103163392376
Aconitate,1,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.12136876141974626
Aconitate,1,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.1192838577669199
Aconitate,1,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.12024200754900703
Aconitate,1,13C_High-H1_I21,13C,High,H1,I21,0.14180781389678007
Aconitate,1,13C_High-H2_I22,13C,High,H2,I22,0.13761039645779546
Aconitate,1,13C_High-H3_I23,13C,High,H3,I23,0.14892427217554696
Aconitate,1,13C_High-H4_I24,13C,High,H4,I24,0.14684642169603115
Aconitate,1,13C_High-H5_I25,13C,High,H5,I25,0.1437189888896074
Aconitate,1,13C_High-H6_I26,13C,High,H6,I26,0.13412152116771506
Aconitate,2,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.13043450732052667
Aconitate,2,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.1361150213592603
Aconitate,2,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.12603799322845283
Aconitate,2,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.1244404979545222
Aconitate,2,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.11701336747369656
Aconitate,2,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.129066278479858
Aconitate,2,13C_High-H1_I21,13C,High,H1,I21,0.12460063517676526
Aconitate,2,13C_High-H2_I22,13C,High,H2,I22,0.11789741077762961
Aconitate,2,13C_High-H3_I23,13C,High,H3,I23,0.13450181958961144
Aconitate,2,13C_High-H4_I24,13C,High,H4,I24,0.10348711062410677
Aconitate,2,13C_High-H5_I25,13C,High,H5,I25,0.1268742818967533
Aconitate,2,13C_High-H6_I26,13C,High,H6,I26,0.1239726663102569
Aconitate,3,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.1232091985819855
Aconitate,3,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.14298408681841335
Aconitate,3,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.12748712478597993
Aconitate,3,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.11320987736140231
Aconitate,3,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.11827312756104139
Aconitate,3,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.12261687330371339
Aconitate,3,13C_High-H1_I21,13C,High,H1,I21,0.10473199023270145
Aconitate,3,13C_High-H2_I22,13C,High,H2,I22,0.10941420632015851
Aconitate,3,13C_High-H3_I23,13C,High,H3,I23,0.11059643220118766
Aconitate,3,13C_High-H4_I24,13C,High,H4,I24,0.09454432336810753
Aconitate,3,13C_High-H5_I25,13C,High,H5,I25,0.12483055648575235
Aconitate,3,13C_High-H6_I26,13C,High,H6,I26,0.13576650970943036
Aconitate,4,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.07549154935898014
Aconitate,4,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.09839990021012762
Aconitate,4,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.0839793158451204
Aconitate,4,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.0842299409705854
Aconitate,4,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.08052755705398107
Aconitate,4,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.08174865240663112
Aconitate,4,13C_High-H1_I21,13C,High,H1,I21,0.06811051082152687
Aconitate,4,13C_High-H2_I22,13C,High,H2,I22,0.06543265861205998
Aconitate,4,13C_High-H3_I23,13C,High,H3,I23,0.06832164670210135
Aconitate,4,13C_High-H4_I24,13C,High,H4,I24,0.06236814835956116
Aconitate,4,13C_High-H5_I25,13C,High,H5,I25,0.08169656037435195
Aconitate,4,13C_High-H6_I26,13C,High,H6,I26,0.08933837518518166
Aconitate,5,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.031164535088106515
Aconitate,5,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.04155392707855213
Aconitate,5,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.03190555294742375
Aconitate,5,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.03400060003862611
Aconitate,5,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.03023968475791492
Aconitate,5,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.028585667261376742
Aconitate,5,13C_High-H1_I21,13C,High,H1,I21,0.026970437472061674
Aconitate,5,13C_High-H2_I22,13C,High,H2,I22,0.029902555924015004
Aconitate,5,13C_High-H3_I23,13C,High,H3,I23,0.025540587630639572
Aconitate,5,13C_High-H4_I24,13C,High,H4,I24,0.021870372442580874
Aconitate,5,13C_High-H5_I25,13C,High,H5,I25,0.03188450466197091
Aconitate,5,13C_High-H6_I26,13C,High,H6,I26,0.033521120955762526
Aconitate,6,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.003105766406227902
Aconitate,6,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.0054661159253558975
Aconitate,6,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.004143820539279515
Aconitate,6,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.003209829920571828
Aconitate,6,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.004956978220523084
Aconitate,6,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.003340620195918532
Aconitate,6,13C_High-H1_I21,13C,High,H1,I21,0.0026798727504799406
Aconitate,6,13C_High-H2_I22,13C,High,H2,I22,0.0020460132494182315
Aconitate,6,13C_High-H3_I23,13C,High,H3,I23,0.004464127852987593
Aconitate,6,13C_High-H4_I24,13C,High,H4,I24,0.0027109008220779145
Aconitate,6,13C_High-H5_I25,13C,High,H5,I25,0.004855315721102153
Aconitate,6,13C_High-H6_I26,13C,High,H6,I26,0.0024328334227156152
Pyruvate,1,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.17434156520019753
Pyruvate,1,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.1840640512889246
Pyruvate,1,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.1617695467995496
Pyruvate,1,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.17246489699976952
Pyruvate,1,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.1464661417859467
Pyruvate,1,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.15316994899818545
Pyruvate,1,13C_High-H1_I21,13C,High,H1,I21,0.1387609227015021
Pyruvate,1,13C_High-H2_I22,13C,High,H2,I22,0.13332179671384545
Pyruvate,1,13C_High-H3_I23,13C,High,H3,I23,0.14812171756017015
Pyruvate,1,13C_High-H4_I24,13C,High,H4,I24,0.13799638292000047
Pyruvate,1,13C_High-H5_I25,13C,High,H5,I25,0.13743060122280001
Pyruvate,1,13C_High-H6_I26,13C,High,H6,I26,0.14335329033453323
Pyruvate,2,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.13705577250259823
Pyruvate,2,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.15733630831782489
Pyruvate,2,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.1357462135935329
Pyruvate,2,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.1524650806214281
Pyruvate,2,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.12932814555703057
Pyruvate,2,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.13126979821601661
Pyruvate,2,13C_High-H1_I21,13C,High,H1,I21,0.1054762709794252
Pyruvate,2,13C_High-H2_I22,13C,High,H2,I22,0.12517044252400486
Pyruvate,2,13C_High-H3_I23,13C,High,H3,I23,0.12660921985661688
Pyruvate,2,13C_High-H4_I24,13C,High,H4,I24,0.09281617634943608
Pyruvate,2,13C_High-H5_I25,13C,High,H5,I25,0.11461708452771234
Pyruvate,2,13C_High-H6_I26,13C,High,H6,I26,0.13615488918223623
Pyruvate,3,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.04370833436804556
Pyruvate,3,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.056412116555505244
Pyruvate,3,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.04565334372301817
Pyruvate,3,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.04789016683105256
Pyruvate,3,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.04712315974737168
Pyruvate,3,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.041860943758223634
Pyruvate,3,13C_High-H1_I21,13C,High,H1,I21,0.04533584244625325
Pyruvate,3,13C_High-H2_I22,13C,High,H2,I22,0.059182229513526745
Pyruvate,3,13C_High-H3_I23,13C,High,H3,I23,0.04322185233262184
Pyruvate,3,13C_High-H4_I24,13C,High,H4,I24,0.03853786758327323
Pyruvate,3,13C_High-H5_I25,13C,High,H5,I25,0.041229567233007164
Pyruvate,3,13C_High-H6_I26,13C,High,H6,I26,0.05276157282307444
