Compound,sample,isotope,treatment,tank,tube,log.intensity.norm
ADP-D-Glucose,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.030244213611064632
ADP-D-Glucose,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.046625370244016334
ADP-D-Glucose,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.015555860601440036
ADP-D-Glucose,13C_High-H1_I21,13C,High,H1,I21,0.05364690613766338
ADP-D-Glucose,13C_High-H2_I22,13C,High,H2,I22,0.0622296337314309
ADP-D-Glucose,13C_High-H3_I23,13C,High,H3,I23,0.04126718210457956
ADP-D-Glucose,13C_High-H4_I24,13C,High,H4,I24,0.04663384360065509
ADP-D-Glucose,13C_High-H5_I25,13C,High,H5,I25,0.06076608249026584
ADP-D-Glucose,13C_High-H6_I26,13C,High,H6,I26,0.07004591517725416
Alanine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,1.3857473975282992
Alanine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,1.3120619587703706
Alanine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.3079124949515086
Alanine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,1.0430466086219958
Alanine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,1.197928032807862
Alanine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,1.1820391478325456
Alanine,13C_High-H1_I21,13C,High,H1,I21,1.0300754434056096
Alanine,13C_High-H2_I22,13C,High,H2,I22,1.0278428060511038
Alanine,13C_High-H3_I23,13C,High,H3,I23,1.026881231197403
Alanine,13C_High-H4_I24,13C,High,H4,I24,1.2584940755165066
Alanine,13C_High-H5_I25,13C,High,H5,I25,0.9764250419697891
Alanine,13C_High-H6_I26,13C,High,H6,I26,1.1731689146866922
Arginine-Glutamine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.3974832913989378
Arginine-Glutamine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.2736298341258558
Arginine-Glutamine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.26907703513988024
Arginine-Glutamine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.23051856065041712
Arginine-Glutamine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.24141408879662465
Arginine-Glutamine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.24623526917762262
Arginine-Glutamine,13C_High-H1_I21,13C,High,H1,I21,0.43043962416612935
Arginine-Glutamine,13C_High-H2_I22,13C,High,H2,I22,0.41534277313250506
Arginine-Glutamine,13C_High-H3_I23,13C,High,H3,I23,0.6222338904602205
Arginine-Glutamine,13C_High-H4_I24,13C,High,H4,I24,0.576584521271751
Arginine-Glutamine,13C_High-H5_I25,13C,High,H5,I25,0.6919142271941766
Arginine-Glutamine,13C_High-H6_I26,13C,High,H6,I26,0.699018326415414
Asparagine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.4563952634315811
Asparagine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.4003058237778752
Asparagine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.37150220397572153
Asparagine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.3055236868194894
Asparagine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.32925891367482063
Asparagine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.368254921245229
Asparagine,13C_High-H1_I21,13C,High,H1,I21,0.4555067919496609
Asparagine,13C_High-H2_I22,13C,High,H2,I22,0.3536200143424231
Asparagine,13C_High-H3_I23,13C,High,H3,I23,0.49244361075926346
Asparagine,13C_High-H4_I24,13C,High,H4,I24,0.552319219422287
Asparagine,13C_High-H5_I25,13C,High,H5,I25,0.5479393285332458
Asparagine,13C_High-H6_I26,13C,High,H6,I26,0.5004617815257731
Aspartate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.9627131846511012
Aspartate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,1.0016440894806997
Aspartate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.7895182790661438
Aspartate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.8590082163886871
Aspartate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.8558320565255811
Aspartate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.8478980264118012
Aspartate,13C_High-H1_I21,13C,High,H1,I21,0.9383380323762266
Aspartate,13C_High-H2_I22,13C,High,H2,I22,1.003351934107438
Aspartate,13C_High-H3_I23,13C,High,H3,I23,1.0770599027404082
Aspartate,13C_High-H4_I24,13C,High,H4,I24,1.1779059196567234
Aspartate,13C_High-H5_I25,13C,High,H5,I25,1.2368928560127928
Aspartate,13C_High-H6_I26,13C,High,H6,I26,1.2428025418665414
Carbamoyl phosphate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.055611327807227745
Carbamoyl phosphate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.06689288564232602
Carbamoyl phosphate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.2094860405286232
Carbamoyl phosphate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.08251760314975487
Carbamoyl phosphate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.06240987007344076
Carbamoyl phosphate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.08182958723494818
Carbamoyl phosphate,13C_High-H1_I21,13C,High,H1,I21,0.09024360391052966
Carbamoyl phosphate,13C_High-H2_I22,13C,High,H2,I22,0.31195951624023627
Carbamoyl phosphate,13C_High-H3_I23,13C,High,H3,I23,0.07169745191618179
Carbamoyl phosphate,13C_High-H4_I24,13C,High,H4,I24,0.2472781733973505
Carbamoyl phosphate,13C_High-H5_I25,13C,High,H5,I25,0.11602783405809015
Carbamoyl phosphate,13C_High-H6_I26,13C,High,H6,I26,0.17352708984269838
Citrulline,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.06468490973181736
Citrulline,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.06597239703364768
Citrulline,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.08086847290396831
Citrulline,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.0616572309268205
Citrulline,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.06295666900744194
Citrulline,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.056154593068864715
Citrulline,13C_High-H1_I21,13C,High,H1,I21,0.037850332114525
Citrulline,13C_High-H2_I22,13C,High,H2,I22,0.03287121419890665
Citrulline,13C_High-H3_I23,13C,High,H3,I23,0.05226127574691404
Citrulline,13C_High-H4_I24,13C,High,H4,I24,0.027030869681421977
Citrulline,13C_High-H5_I25,13C,High,H5,I25,0.040799724406140846
Citrulline,13C_High-H6_I26,13C,High,H6,I26,0.0518672333401723
Glucose,13C_Ambient-A1_I1,13C,Ambient,A1,I1,2.9329817766864212
Glucose,13C_Ambient-A2_I2,13C,Ambient,A2,I2,2.7512511886492654
Glucose,13C_Ambient-A3_I3,13C,Ambient,A3,I3,2.847323578553271
Glucose,13C_Ambient-A4_I4,13C,Ambient,A4,I4,3.04311262401848
Glucose,13C_Ambient-A5_I5,13C,Ambient,A5,I5,2.647086605865268
Glucose,13C_Ambient-A6_I6,13C,Ambient,A6,I6,2.7083261108120915
Glucose,13C_High-H1_I21,13C,High,H1,I21,2.891281805886722
Glucose,13C_High-H2_I22,13C,High,H2,I22,3.2154566025121
Glucose,13C_High-H3_I23,13C,High,H3,I23,2.9547541164315185
Glucose,13C_High-H4_I24,13C,High,H4,I24,2.8339199003863382
Glucose,13C_High-H5_I25,13C,High,H5,I25,3.290830200963455
Glucose,13C_High-H6_I26,13C,High,H6,I26,3.4584321681491628
Glutamate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,3.581982337892539
Glutamate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,3.511428984603673
Glutamate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,3.1620352321572582
Glutamate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,3.204594864973988
Glutamate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,3.269165777183707
Glutamate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,3.237445572549941
Glutamate,13C_High-H1_I21,13C,High,H1,I21,3.4028735837375903
Glutamate,13C_High-H2_I22,13C,High,H2,I22,3.3772947393716617
Glutamate,13C_High-H3_I23,13C,High,H3,I23,3.4714123198625084
Glutamate,13C_High-H4_I24,13C,High,H4,I24,3.7729128942576833
Glutamate,13C_High-H5_I25,13C,High,H5,I25,3.7057299670088515
Glutamate,13C_High-H6_I26,13C,High,H6,I26,3.671081463581708
Glycerate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.17013770383390353
Glycerate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.18399108527670266
Glycerate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.3415396492755073
Glycerate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.24669135489710484
Glycerate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.1761396225269521
Glycerate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.11819924512708019
Glycerate,13C_High-H1_I21,13C,High,H1,I21,0.2152948674443679
Glycerate,13C_High-H2_I22,13C,High,H2,I22,0.4485504604907461
Glycerate,13C_High-H3_I23,13C,High,H3,I23,0.1932418515475609
Glycerate,13C_High-H4_I24,13C,High,H4,I24,0.3080406853360955
Glycerate,13C_High-H5_I25,13C,High,H5,I25,0.301775393657886
Glycerate,13C_High-H6_I26,13C,High,H6,I26,0.35279999011253393
Homoarginine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.05046182850812123
Homoarginine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.04513102230894503
Homoarginine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.05704987902180125
Homoarginine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.04101796934193868
Homoarginine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.04596520184508427
Homoarginine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.04487518813060602
Homoarginine,13C_High-H1_I21,13C,High,H1,I21,0.04592687010548211
Homoarginine,13C_High-H2_I22,13C,High,H2,I22,0.05960440169032021
Homoarginine,13C_High-H3_I23,13C,High,H3,I23,0.042874514038989155
Homoarginine,13C_High-H4_I24,13C,High,H4,I24,0.05667801765200837
Homoarginine,13C_High-H5_I25,13C,High,H5,I25,0.06085629475831626
Homoarginine,13C_High-H6_I26,13C,High,H6,I26,0.05917122779026754
Inositol,13C_Ambient-A1_I1,13C,Ambient,A1,I1,1.8831995336607839
Inositol,13C_Ambient-A2_I2,13C,Ambient,A2,I2,1.8528985769069997
Inositol,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.9460089241059402
Inositol,13C_Ambient-A4_I4,13C,Ambient,A4,I4,1.7304104830035187
Inositol,13C_Ambient-A5_I5,13C,Ambient,A5,I5,1.7237697638972056
Inositol,13C_Ambient-A6_I6,13C,Ambient,A6,I6,1.6264057369633274
Inositol,13C_High-H1_I21,13C,High,H1,I21,2.24499610729436
Inositol,13C_High-H2_I22,13C,High,H2,I22,2.356167032195903
Inositol,13C_High-H3_I23,13C,High,H3,I23,2.153494199368281
Inositol,13C_High-H4_I24,13C,High,H4,I24,2.178453952593416
Inositol,13C_High-H5_I25,13C,High,H5,I25,2.286707573450226
Inositol,13C_High-H6_I26,13C,High,H6,I26,2.361787312834072
Isoleucine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,1.425608534111537
Isoleucine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,1.2505314521979962
Isoleucine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.2608036640167675
Isoleucine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,1.1664192166841536
Isoleucine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,1.2291279151089685
Isoleucine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,1.2967662375051752
Isoleucine,13C_High-H1_I21,13C,High,H1,I21,0.930111764285392
Isoleucine,13C_High-H2_I22,13C,High,H2,I22,0.8371089981032515
Isoleucine,13C_High-H3_I23,13C,High,H3,I23,0.9808997558867589
Isoleucine,13C_High-H4_I24,13C,High,H4,I24,1.1754260284572497
Isoleucine,13C_High-H5_I25,13C,High,H5,I25,0.9793701964423355
Isoleucine,13C_High-H6_I26,13C,High,H6,I26,1.0307183847306363
Leucine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,1.9114515288174339
Leucine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,1.663325504027077
Leucine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.7026239665856437
Leucine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,1.580248342168767
Leucine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,1.5950889263625614
Leucine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,1.646341071533565
Leucine,13C_High-H1_I21,13C,High,H1,I21,1.275317770804352
Leucine,13C_High-H2_I22,13C,High,H2,I22,1.2769084428542445
Leucine,13C_High-H3_I23,13C,High,H3,I23,1.4663558495360558
Leucine,13C_High-H4_I24,13C,High,H4,I24,1.620740852157544
Leucine,13C_High-H5_I25,13C,High,H5,I25,1.4807369428463528
Leucine,13C_High-H6_I26,13C,High,H6,I26,1.5085859545470963
Lysine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,1.274717970489791
Lysine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,1.0802982425528465
Lysine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.1245667098090082
Lysine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.9413003580967944
Lysine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,1.1004918713946414
Lysine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,1.2047210480729875
Lysine,13C_High-H1_I21,13C,High,H1,I21,0.9725807612200223
Lysine,13C_High-H2_I22,13C,High,H2,I22,0.8869901604095674
Lysine,13C_High-H3_I23,13C,High,H3,I23,0.9724976561690267
Lysine,13C_High-H4_I24,13C,High,H4,I24,1.1037372845605873
Lysine,13C_High-H5_I25,13C,High,H5,I25,0.8981887181873338
Lysine,13C_High-H6_I26,13C,High,H6,I26,0.9648978949239516
Montiporic Acid A,13C_Ambient-A1_I1,13C,Ambient,A1,I1,5.632271989225181
Montiporic Acid A,13C_Ambient-A2_I2,13C,Ambient,A2,I2,5.218849040349901
Montiporic Acid A,13C_Ambient-A3_I3,13C,Ambient,A3,I3,6.004138953141334
Montiporic Acid A,13C_Ambient-A4_I4,13C,Ambient,A4,I4,4.879734957779566
Montiporic Acid A,13C_Ambient-A5_I5,13C,Ambient,A5,I5,5.079654853854377
Montiporic Acid A,13C_Ambient-A6_I6,13C,Ambient,A6,I6,5.589466895854765
Montiporic Acid A,13C_High-H1_I21,13C,High,H1,I21,5.541390246772478
Montiporic Acid A,13C_High-H2_I22,13C,High,H2,I22,6.3595781062562144
Montiporic Acid A,13C_High-H3_I23,13C,High,H3,I23,5.4884612247157385
Montiporic Acid A,13C_High-H4_I24,13C,High,H4,I24,6.535095529170172
Montiporic Acid A,13C_High-H5_I25,13C,High,H5,I25,5.524281374196226
Montiporic Acid A,13C_High-H6_I26,13C,High,H6,I26,5.671095469734289
Montiporic Acid C,13C_Ambient-A1_I1,13C,Ambient,A1,I1,6.824272156787121
Montiporic Acid C,13C_Ambient-A2_I2,13C,Ambient,A2,I2,6.629954449087025
Montiporic Acid C,13C_Ambient-A3_I3,13C,Ambient,A3,I3,7.3642329151356964
Montiporic Acid C,13C_Ambient-A4_I4,13C,Ambient,A4,I4,6.259331243433797
Montiporic Acid C,13C_Ambient-A5_I5,13C,Ambient,A5,I5,6.472038633303956
Montiporic Acid C,13C_Ambient-A6_I6,13C,Ambient,A6,I6,6.799643465250522
Montiporic Acid C,13C_High-H1_I21,13C,High,H1,I21,6.9156362972759835
Montiporic Acid C,13C_High-H2_I22,13C,High,H2,I22,7.640169397394762
Montiporic Acid C,13C_High-H3_I23,13C,High,H3,I23,6.7433668729848675
Montiporic Acid C,13C_High-H4_I24,13C,High,H4,I24,7.43074880416972
Montiporic Acid C,13C_High-H5_I25,13C,High,H5,I25,6.902308522477177
Montiporic Acid C,13C_High-H6_I26,13C,High,H6,I26,7.026816333275718
N-acetyl-glutamate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.27953154764847815
N-acetyl-glutamate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.21371554756357816
N-acetyl-glutamate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.28030315800802663
N-acetyl-glutamate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.17298232108587047
N-acetyl-glutamate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.22019230359824743
N-acetyl-glutamate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.22625886981048418
N-acetyl-glutamate,13C_High-H1_I21,13C,High,H1,I21,0.1503763814322261
N-acetyl-glutamate,13C_High-H2_I22,13C,High,H2,I22,0.13019274545027146
N-acetyl-glutamate,13C_High-H3_I23,13C,High,H3,I23,0.14263333483710736
N-acetyl-glutamate,13C_High-H4_I24,13C,High,H4,I24,0.15525820728719444
N-acetyl-glutamate,13C_High-H5_I25,13C,High,H5,I25,0.15283322378711875
N-acetyl-glutamate,13C_High-H6_I26,13C,High,H6,I26,0.152096280106013
N-Acetylaspartate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.21927422854821524
N-Acetylaspartate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.18056886872987069
N-Acetylaspartate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.3179673186060155
N-Acetylaspartate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.17294710417196418
N-Acetylaspartate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.2146285826827269
N-Acetylaspartate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.22059511933190926
N-Acetylaspartate,13C_High-H1_I21,13C,High,H1,I21,0.17466220086747558
N-Acetylaspartate,13C_High-H2_I22,13C,High,H2,I22,0.17879800517337277
N-Acetylaspartate,13C_High-H3_I23,13C,High,H3,I23,0.1461124745917669
N-Acetylaspartate,13C_High-H4_I24,13C,High,H4,I24,0.2356224223431896
N-Acetylaspartate,13C_High-H5_I25,13C,High,H5,I25,0.14944557845160722
N-Acetylaspartate,13C_High-H6_I26,13C,High,H6,I26,0.17108475639856027
N-Acetylputrescine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.0331283220034654
N-Acetylputrescine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.011822825960098891
N-Acetylputrescine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.04022251717866841
N-Acetylputrescine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.021791568767184653
N-Acetylputrescine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.02213348494791937
N-Acetylputrescine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.025674371208268758
N-Acetylputrescine,13C_High-H1_I21,13C,High,H1,I21,0.025287662944393018
N-Acetylputrescine,13C_High-H2_I22,13C,High,H2,I22,0
N-Acetylputrescine,13C_High-H3_I23,13C,High,H3,I23,0.01999316900590545
N-Acetylputrescine,13C_High-H4_I24,13C,High,H4,I24,0.018739116935563783
N-Acetylputrescine,13C_High-H5_I25,13C,High,H5,I25,0.004534956025125582
N-Acetylputrescine,13C_High-H6_I26,13C,High,H6,I26,0.006945800500068532
NAD+,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.2467629258383723
NAD+,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.20446470159767885
NAD+,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.3381911513187852
NAD+,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.10352626512603265
NAD+,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.10339674362023331
NAD+,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.22830916791930422
NAD+,13C_High-H1_I21,13C,High,H1,I21,0.5439063899107965
NAD+,13C_High-H2_I22,13C,High,H2,I22,0.7477045364483996
NAD+,13C_High-H3_I23,13C,High,H3,I23,0.4258436496160424
NAD+,13C_High-H4_I24,13C,High,H4,I24,0.5678929199756112
NAD+,13C_High-H5_I25,13C,High,H5,I25,0.3888161114157674
NAD+,13C_High-H6_I26,13C,High,H6,I26,0.6141468894305908
NADP+,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.07920931363684654
NADP+,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.046224977861602144
NADP+,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.08361440746379806
NADP+,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.03450505911345895
NADP+,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.03437960639962591
NADP+,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.05201938691878583
NADP+,13C_High-H1_I21,13C,High,H1,I21,0.13719230727533546
NADP+,13C_High-H2_I22,13C,High,H2,I22,0.2144978976920583
NADP+,13C_High-H3_I23,13C,High,H3,I23,0.1396437742654418
NADP+,13C_High-H4_I24,13C,High,H4,I24,0.20426275783362674
NADP+,13C_High-H5_I25,13C,High,H5,I25,0.11357180807292877
NADP+,13C_High-H6_I26,13C,High,H6,I26,0.16172010137410275
Phosphocholine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.2430279991468279
Phosphocholine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.21405961210808072
Phosphocholine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.2631828861714404
Phosphocholine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.18221633833662365
Phosphocholine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.1973025047319082
Phosphocholine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.19847078789251318
Phosphocholine,13C_High-H1_I21,13C,High,H1,I21,0.2714267886500703
Phosphocholine,13C_High-H2_I22,13C,High,H2,I22,0.2902218367872503
Phosphocholine,13C_High-H3_I23,13C,High,H3,I23,0.31250644170619313
Phosphocholine,13C_High-H4_I24,13C,High,H4,I24,0.40878945237356
Phosphocholine,13C_High-H5_I25,13C,High,H5,I25,0.31684064372462795
Phosphocholine,13C_High-H6_I26,13C,High,H6,I26,0.3381175694059077
Proline,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.9978261488523831
Proline,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.9108360569186921
Proline,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.009244553777282
Proline,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.8304142436185629
Proline,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.8829677640025538
Proline,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.88073493546776
Proline,13C_High-H1_I21,13C,High,H1,I21,0.9430347006876143
Proline,13C_High-H2_I22,13C,High,H2,I22,0.9793333088368739
Proline,13C_High-H3_I23,13C,High,H3,I23,0.9165101547645623
Proline,13C_High-H4_I24,13C,High,H4,I24,1.1900479001507975
Proline,13C_High-H5_I25,13C,High,H5,I25,1.020863421221293
Proline,13C_High-H6_I26,13C,High,H6,I26,1.0224888459716563
Ribose phosphate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.31154167236936114
Ribose phosphate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.32483485540278534
Ribose phosphate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.3431906651998347
Ribose phosphate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.36577772512394696
Ribose phosphate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.41529664711558545
Ribose phosphate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.180809968914873
Ribose phosphate,13C_High-H1_I21,13C,High,H1,I21,0.20769661852088772
Ribose phosphate,13C_High-H2_I22,13C,High,H2,I22,0.1733923843067671
Ribose phosphate,13C_High-H3_I23,13C,High,H3,I23,0.17668477966322935
Ribose phosphate,13C_High-H4_I24,13C,High,H4,I24,0.24781693887095133
Ribose phosphate,13C_High-H5_I25,13C,High,H5,I25,0.29705968661030563
Ribose phosphate,13C_High-H6_I26,13C,High,H6,I26,0.19344332607872303
Taurine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,1.2507036755090986
Taurine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,1.4677876649148298
Taurine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.5948050000080767
Taurine,13C_Ambient-A4_I4,13C,Ambient,A4,I4,1.1638694345730782
Taurine,13C_Ambient-A5_I5,13C,Ambient,A5,I5,1.5193894889149147
Taurine,13C_Ambient-A6_I6,13C,Ambient,A6,I6,1.3099906293666066
Taurine,13C_High-H1_I21,13C,High,H1,I21,1.423666199039942
Taurine,13C_High-H2_I22,13C,High,H2,I22,1.256762244281259
Taurine,13C_High-H3_I23,13C,High,H3,I23,1.21448134675363
Taurine,13C_High-H4_I24,13C,High,H4,I24,1.040732853403948
Taurine,13C_High-H5_I25,13C,High,H5,I25,1.2445495576983907
Taurine,13C_High-H6_I26,13C,High,H6,I26,1.0044563834244902
Theanine,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.9884419312580096
Theanine,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.7521664477594555
Theanine,13C_Ambient-A3_I3,13C,Ambient,A3,I3,1.1576356080910348
