Compound,sample,isotope,treatment,tank,tube,log.intensity.norm
Ribose phosphate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,0.40989068384927974
Ribose phosphate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,0.13942638875732347
Ribose phosphate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,0.39640752183112604
Ribose phosphate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,0.31705823522850324
Ribose phosphate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,0.31528704058147455
Ribose phosphate,12C_High-H1_I27,12C,High,H1,I27,0.21203975076184595
Ribose phosphate,12C_High-H2_I28,12C,High,H2,I28,0.16097180322416924
Ribose phosphate,12C_High-H3_I29,12C,High,H3,I29,0.24925447463971723
Ribose phosphate,12C_High-H4_I30,12C,High,H4,I30,0.21837841630599306
Ribose phosphate,12C_High-H5_I31,12C,High,H5,I31,0.27631010915885706
Ribose phosphate,12C_High-H6_I32,12C,High,H6,I32,0.18657085582064512
Ribose phosphate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.31154167236936114
Ribose phosphate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.32483485540278534
Ribose phosphate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.3431906651998347
Ribose phosphate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.36577772512394696
Ribose phosphate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.41529664711558545
Ribose phosphate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.180809968914873
Ribose phosphate,13C_High-H1_I21,13C,High,H1,I21,0.20769661852088772
Ribose phosphate,13C_High-H2_I22,13C,High,H2,I22,0.1733923843067671
Ribose phosphate,13C_High-H3_I23,13C,High,H3,I23,0.17668477966322935
Ribose phosphate,13C_High-H4_I24,13C,High,H4,I24,0.24781693887095133
Ribose phosphate,13C_High-H5_I25,13C,High,H5,I25,0.29705968661030563
Ribose phosphate,13C_High-H6_I26,13C,High,H6,I26,0.19344332607872303
Dihydroxyacetone phosphate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,0.5442050586238137
Dihydroxyacetone phosphate,12C_Ambient-A2_I8,12C,Ambient,A2,I8,0.5552276022834296
Dihydroxyacetone phosphate,12C_Ambient-A3_I9,12C,Ambient,A3,I9,0.43927709917607793
Dihydroxyacetone phosphate,12C_Ambient-A4_I10,12C,Ambient,A4,I10,0.4216938741487285
Dihydroxyacetone phosphate,12C_Ambient-A5_I11,12C,Ambient,A5,I11,0.4544322233762478
Dihydroxyacetone phosphate,12C_Ambient-A6_I12,12C,Ambient,A6,I12,0.48577127398739917
Dihydroxyacetone phosphate,12C_High-H1_I27,12C,High,H1,I27,0.37523038082443705
Dihydroxyacetone phosphate,12C_High-H2_I28,12C,High,H2,I28,0.5278361548717789
Dihydroxyacetone phosphate,12C_High-H3_I29,12C,High,H3,I29,0.510113043638081
Dihydroxyacetone phosphate,12C_High-H4_I30,12C,High,H4,I30,0.7710307222043788
Dihydroxyacetone phosphate,12C_High-H5_I31,12C,High,H5,I31,0.5212061536813625
Dihydroxyacetone phosphate,12C_High-H6_I32,12C,High,H6,I32,0.4785043421051571
Dihydroxyacetone phosphate,13C_Ambient-A1_I1,13C,Ambient,A1,I1,0.41139971759265276
Dihydroxyacetone phosphate,13C_Ambient-A2_I2,13C,Ambient,A2,I2,0.37275619275776667
Dihydroxyacetone phosphate,13C_Ambient-A3_I3,13C,Ambient,A3,I3,0.46857307212291727
Dihydroxyacetone phosphate,13C_Ambient-A4_I4,13C,Ambient,A4,I4,0.3474180542354181
Dihydroxyacetone phosphate,13C_Ambient-A5_I5,13C,Ambient,A5,I5,0.3822885917804557
Dihydroxyacetone phosphate,13C_Ambient-A6_I6,13C,Ambient,A6,I6,0.3650052486501009
Dihydroxyacetone phosphate,13C_High-H1_I21,13C,High,H1,I21,0.3913148805469177
Dihydroxyacetone phosphate,13C_High-H2_I22,13C,High,H2,I22,0.40508374681811643
Dihydroxyacetone phosphate,13C_High-H3_I23,13C,High,H3,I23,0.36772158619988055
Dihydroxyacetone phosphate,13C_High-H4_I24,13C,High,H4,I24,0.4108826656421002
Dihydroxyacetone phosphate,13C_High-H5_I25,13C,High,H5,I25,0.4360121767455969
Dihydroxyacetone phosphate,13C_High-H6_I26,13C,High,H6,I26,0.4726787703573249
Glucose,12C_Ambient-A1_I7,12C,Ambient,A1,I7,2.793634680758095
Glucose,12C_Ambient-A2_I8,12C,Ambient,A2,I8,2.708114089118019
Glucose,12C_Ambient-A3_I9,12C,Ambient,A3,I9,2.673751851639739
Glucose,12C_Ambient-A4_I10,12C,Ambient,A4,I10,2.610455587227372
Glucose,12C_Ambient-A5_I11,12C,Ambient,A5,I11,2.658639030696026
Glucose,12C_Ambient-A6_I12,12C,Ambient,A6,I12,3.103853898803667
Glucose,12C_High-H1_I27,12C,High,H1,I27,3.203238619935063
Glucose,12C_High-H2_I28,12C,High,H2,I28,2.925362826148246
Glucose,12C_High-H3_I29,12C,High,H3,I29,3.2231947898765925
Glucose,12C_High-H4_I30,12C,High,H4,I30,3.373516389526585
Glucose,12C_High-H5_I31,12C,High,H5,I31,2.520331122009656
Glucose,12C_High-H6_I32,12C,High,H6,I32,2.9900332873145263
Glucose,13C_Ambient-A1_I1,13C,Ambient,A1,I1,2.9329817766864212
Glucose,13C_Ambient-A2_I2,13C,Ambient,A2,I2,2.7512511886492654
Glucose,13C_Ambient-A3_I3,13C,Ambient,A3,I3,2.847323578553271
Glucose,13C_Ambient-A4_I4,13C,Ambient,A4,I4,3.04311262401848
Glucose,13C_Ambient-A5_I5,13C,Ambient,A5,I5,2.647086605865268
Glucose,13C_Ambient-A6_I6,13C,Ambient,A6,I6,2.7083261108120915
Glucose,13C_High-H1_I21,13C,High,H1,I21,2.891281805886722
Glucose,13C_High-H2_I22,13C,High,H2,I22,3.2154566025121
Glucose,13C_High-H3_I23,13C,High,H3,I23,2.9547541164315185
Glucose,13C_High-H4_I24,13C,High,H4,I24,2.8339199003863382
Glucose,13C_High-H5_I25,13C,High,H5,I25,3.290830200963455
Glucose,13C_High-H6_I26,13C,High,H6,I26,3.4584321681491628
Malate,12C_Ambient-A1_I7,12C,Ambient,A1,I7,3.422291930986885
