Measurement Name :,Plate3_20211204_Alex_27C,,Generated On :,"09/12/2021, 13:07:28",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
09.12.21 12:45:25,11.3,271.35,204.66,248.88,209.3,289.7,265.96,275.22,239.92,268.65,188.11,221.92,141.08,288.52,240.29,277.94,191.61,237.69,263.28,275.61,148.68,105.73,266.73,239.92,,,27,965,0,28.64,
09.12.21 12:45:40,11.55,274.06,210.01,238.06,210.37,246.26,255.67,293.26,217.21,312.11,227.75,231.42,149.67,186.37,225.56,300.83,139.11,201.11,312.51,340.15,162.39,195.46,290.49,194.76,,,27,965,0,28.65,
09.12.21 12:45:55,11.8,268.27,243.64,275.22,218.29,282.62,277.16,279.5,241.78,279.89,224.1,226.65,145.04,283.41,246.26,344.78,171.9,268.65,257.19,273.28,214.68,238.81,282.23,218.65,,,27,965,0,28.65,
09.12.21 12:46:10,12.05,254.54,202.53,244.02,228.48,287.73,251.52,250.39,220.83,203.24,155.34,195.82,124.82,229.22,255.67,296.44,174.98,260.61,235.84,309.68,203.95,280.28,224.1,248.51,,,27,965,0,28.66,
09.12.21 12:46:25,12.3,257.95,208.94,227.39,200.76,262.52,264.05,267.5,215.4,263.28,198.28,187.07,128.37,342.67,215.76,229.95,153.33,233.63,242.15,208.22,146.36,127.08,297.63,208.22,,,27,965,0,28.68,
09.12.21 12:46:40,12.55,265.96,200.76,247.01,212.88,263.28,258.33,265.58,250.01,270.58,166.45,223.37,165.44,283.41,188.81,304.84,167.47,198.99,293.26,248.51,183.25,211.45,198.64,108.25,,,27,965,0,28.68,
09.12.21 12:46:55,12.8,263.28,208.22,243.27,212.16,267.5,262.52,298.43,242.52,302.43,166.45,212.52,123.21,254.16,220.1,285.37,172.93,222.28,343.94,255.29,154,201.82,292.47,228.12,,,27,965,0,28.69,
09.12.21 12:47:10,13.05,240.66,214.68,225.92,193.01,257.95,257.95,256.43,226.29,260.99,167.81,216.85,119.05,198.99,177.04,284.98,144.71,226.65,271.35,210.73,158.35,135.52,277.94,227.02,,,27,965,0,28.72,
09.12.21 12:47:25,13.3,260.61,198.64,234,205.02,284.58,236.95,267.5,227.02,273.28,192.66,197.58,135.19,274.45,227.75,386.72,165.1,156.34,214.68,328.08,133.89,61.43,250.01,172.24,,,27,965,0,28.72,
09.12.21 12:47:40,13.55,269.04,219.74,245.51,223.74,241.41,283.8,265.96,251.89,236.58,231.79,236.58,149.67,321.08,222.28,337.22,197.93,197.58,270.19,341.83,146.69,345.62,226.65,229.58,,,27,965,0,28.75,
09.12.21 12:47:55,13.8,259.47,203.24,245.14,231.42,275.61,263.28,275.22,223.01,258.33,140.43,171.9,119.69,235.84,248.51,359.24,158.35,187.07,349.86,304.03,168.15,207.51,279.5,205.37,,,27,965,0,28.76,
09.12.21 12:48:10,14.05,265.58,190.21,242.15,236.95,244.76,272.12,288.12,229.58,246.63,196.87,244.76,114.9,238.43,228.12,293.26,134.21,132.26,345.62,214.32,125.46,191.26,220.46,223.74,,,27,965,0,28.76,
09.12.21 12:48:25,14.3,251.52,202.53,246.26,216.48,281.06,260.61,292.47,242.52,249.26,207.15,220.46,136.17,262.52,260.23,261.76,144.38,190.21,300.03,187.07,161.38,221.55,265.58,247.01,,,27,965,0,28.78,
09.12.21 12:48:40,14.55,253.4,206.08,225.92,227.75,261.76,232.52,286.55,212.16,236.95,180.83,185.33,119.37,186.72,205.37,325.19,155.34,231.79,233.26,180.48,156.01,236.95,264.43,220.46,,,27,965,0,28.79,
09.12.21 12:48:55,14.8,248.13,217.93,260.23,209.3,285.76,274.83,253.4,224.1,290.88,229.95,186.03,132.26,232.15,261.76,232.15,125.14,229.22,253.4,269.42,133.56,219.38,258.71,174.29,,,27,965,0,28.8,
09.12.21 12:49:10,15.05,264.81,188.11,247.01,231.79,254.92,270.19,257.57,214.32,256.05,167.47,190.56,131.29,276.77,240.66,310.08,150,123.21,295.64,302.03,120.33,203.24,277.94,162.73,,,27,965,0,28.82,
09.12.21 12:49:25,15.3,248.88,200.76,249.64,228.12,259.09,279.11,289.7,222.64,228.48,191.96,224.46,153,203.59,220.46,313.73,130.31,179.79,272.12,311.3,170.19,177.73,321.49,157.01,,,27,965,0,28.83,
09.12.21 12:49:40,15.55,262.9,216.48,246.26,236.58,272.12,250.39,302.43,223.37,256.81,164.08,223.37,154,259.09,259.09,281.06,154,278.72,221.19,256.43,146.69,186.37,294.85,225.56,,,27,965,0,28.85,
09.12.21 12:49:55,15.8,243.27,216.12,235.84,232.15,234.73,271.35,280.67,221.92,271.74,205.37,192.66,116.81,251.52,270.19,314.54,155.34,172.58,265.96,235.1,93.26,186.37,273.67,185.68,,,27,965,0,28.86,
09.12.21 12:50:10,16.05,243.27,210.37,235.47,212.16,253.03,230.68,271.74,212.16,268.65,201.47,233.26,128.05,249.64,207.87,363.55,96.98,125.46,221.55,349.86,126.75,283.02,184.98,231.42,,,27,965,0,28.86,
09.12.21 12:50:25,16.3,251.89,187.07,238.81,231.05,241.03,252.65,308.06,211.81,303.23,211.09,281.06,132.91,271.35,207.51,247.01,117.77,179.1,343.52,295.24,142.07,41.76,288.91,137.48,,,27,965,0,28.88,
09.12.21 12:50:40,16.55,255.67,201.82,250.01,223.01,242.52,259.09,265.58,234.37,250.39,207.87,206.08,146.69,204.66,216.48,336.8,102.6,126.11,242.52,275.22,178.41,125.79,260.99,193.36,,,27,965,0,28.9,
09.12.21 12:50:55,16.8,251.52,219.38,254.16,224.46,269.81,288.12,285.76,220.46,282.23,172.58,217.57,109.83,231.42,265.96,393.84,132.26,213.96,356.67,396.53,165.44,306.04,193.71,225.92,,,27,965,0,28.91,
09.12.21 12:51:10,17.05,245.89,203.95,215.04,225.56,223.74,242.15,269.42,205.02,279.89,191.61,188.81,125.14,262.14,242.52,294.05,92.64,250.39,388.49,269.81,122.89,228.12,208.22,202.17,,,27,965,0,28.93,
09.12.21 12:51:25,17.3,255.67,213.24,254.54,224.1,259.47,270.97,301.23,217.21,298.43,187.76,216.85,136.5,272.12,212.16,318.62,126.11,144.38,250.01,326.01,156.68,163.07,246.26,174.64,,,27,965,0,28.93,
09.12.21 12:51:40,17.55,269.04,206.44,237.32,232.15,257.95,268.65,281.06,227.75,276.39,207.51,196.17,160.04,288.12,263.28,344.78,131.29,268.27,410.08,296.84,103.85,138.46,288.91,169.17,,,27,965,0,28.93,
09.12.21 12:51:55,17.8,237.69,213.6,229.95,216.85,255.29,287.73,241.78,215.4,328.08,227.39,253.03,141.08,273.67,259.09,357.53,131.93,163.41,206.8,279.5,161.38,337.64,393.39,136.17,,,27,965,0,28.93,
09.12.21 12:52:10,18.05,247.01,213.24,241.03,243.64,241.78,255.67,285.37,207.15,251.14,178.76,225.92,143.06,228.12,179.45,266.73,121.29,166.45,276.39,282.23,147.68,163.07,383.18,133.89,,,27,965,0,28.97,
09.12.21 12:52:25,18.3,246.26,204.3,253.03,226.29,263.67,280.67,317.8,198.28,266.35,216.85,212.52,160.71,368.3,239.92,288.52,130.64,143.72,257.57,223.74,144.05,316.58,247.76,151,,,27,965,0,28.97,
09.12.21 12:52:40,18.55,262.9,184.98,238.81,232.52,225.92,285.76,298.43,216.48,298.03,192.31,247.38,145.7,193.71,208.58,278.33,173.27,251.52,234.37,298.83,154.67,317.8,294.85,195.82,,,27,965,0,28.97,
09.12.21 12:52:55,18.8,246.26,199.7,225.56,236.95,269.42,287.33,300.03,235.1,264.81,222.28,234.37,168.83,187.42,219.74,388.94,170.54,219.74,279.89,298.43,167.13,324.36,229.95,188.11,,,27,965,0,28.97,
09.12.21 12:53:10,19.05,255.67,198.28,226.65,223.01,268.65,245.14,268.65,182.9,284.58,216.85,218.29,174.98,281.84,229.22,367,112.68,147.68,228.48,241.41,134.86,243.27,256.43,221.55,,,27,965,0,28.99,
09.12.21 12:53:25,19.3,267.12,211.09,247.01,233.26,254.54,267.5,296.44,215.4,304.84,189.16,241.03,151.67,245.51,209.3,351.56,172.58,153,236.21,274.45,98.23,306.85,327.25,199.7,,,27,965,0,29.01,
09.12.21 12:53:40,19.55,262.52,191.26,225.56,236.95,284.98,278.72,303.23,232.89,290.49,197.22,259.47,150,253.78,242.52,283.8,132.58,222.28,304.84,271.74,189.16,256.81,391.16,166.12,,,27,965,0,29.01,
09.12.21 12:53:55,19.8,237.32,210.37,232.89,239.92,288.12,271.74,294.85,209.66,274.83,158.35,210.01,173.27,305.24,223.01,304.44,150,152.33,238.43,286.55,107.31,333.88,267.5,128.37,,,27,965,0,29.01,
09.12.21 12:54:10,20.05,253.03,202.17,231.79,226.65,263.28,269.04,291.68,207.87,276.77,198.99,235.84,159.7,276.77,227.75,321.9,125.46,196.87,275.61,286.15,128.37,228.85,281.06,178.07,,,27,965,0,29.01,
09.12.21 12:54:25,20.3,253.78,202.17,232.89,227.39,264.05,269.42,294.05,207.51,279.89,199.34,238.81,158.35,279.5,225.56,321.9,124.82,197.22,280.28,285.76,126.75,222.28,279.89,179.45,,,27,965,0,29.01,
09.12.21 12:54:40,20.55,252.65,200.05,231.42,225.19,263.28,269.42,298.83,206.44,277.55,196.87,234.37,156.34,277.16,227.39,321.08,125.14,194.06,272.51,280.28,125.79,232.52,275.61,170.88,,,27,965,0,28.97,
09.12.21 12:54:55,20.8,252.27,198.99,231.05,219.38,263.67,269.81,293.66,205.73,279.11,198.28,233.63,156.68,275.61,225.56,315.76,124.5,195.11,270.19,278.72,125.14,234,281.45,176.35,,,27,965,0,28.96,
09.12.21 12:55:10,21.05,251.52,201.82,230.32,217.57,262.52,270.19,296.04,204.3,278.33,197.22,231.42,154.67,277.55,226.29,312.51,119.37,191.96,265.96,277.16,123.53,230.32,274.83,174.64,,,27,965,0,28.93,
09.12.21 12:55:25,21.3,251.14,196.17,230.32,215.76,263.28,270.58,292.86,203.59,279.11,195.82,228.48,153.67,277.55,226.29,311.7,117.13,188.46,259.85,274.83,122.89,228.85,275.61,170.54,,,27,965,0,28.9,
09.12.21 12:55:40,21.55,251.52,192.66,229.58,215.04,261.76,269.81,293.26,201.11,279.5,196.17,227.39,152.67,279.5,222.28,306.45,112.68,193.01,261.76,268.27,122.89,230.32,275.22,172.93,,,27,965,0,28.88,
09.12.21 12:55:55,21.8,250.39,189.86,229.22,212.88,261.37,269.42,290.88,198.64,281.06,195.11,225.19,151.67,278.72,225.19,305.24,109.83,187.42,256.43,265.96,137.8,230.32,279.5,169.17,,,27,965,0,28.86,
09.12.21 12:56:10,22.05,250.76,188.46,228.48,213.24,262.9,269.81,290.49,196.52,279.5,195.46,223.37,150,277.55,225.92,298.83,104.16,183.94,254.92,264.81,135.52,218.29,270.97,174.64,,,27,965,0,28.83,
09.12.21 12:56:25,22.3,249.26,186.37,227.39,211.09,261.76,270.97,289.7,195.82,279.89,195.82,216.85,149.34,276.39,226.29,292.07,100.41,188.46,251.52,264.81,120.01,233.63,270.97,171.9,,,27,965,0,28.8,
09.12.21 12:56:40,22.55,247.76,183.94,227.39,210.01,260.99,275.22,288.52,194.06,278.33,195.46,213.6,146.36,276,225.19,288.91,98.54,187.07,253.03,260.23,124.18,226.65,273.28,163.75,,,27,965,0,28.79,
09.12.21 12:56:55,22.8,248.88,182.21,227.39,208.58,259.47,274.83,288.91,193.01,277.94,194.76,210.37,145.7,278.72,223.74,286.94,93.26,187.42,248.13,258.71,129.66,224.83,274.06,164.76,,,27,965,0,28.76,
09.12.21 12:57:10,23.05,248.88,179.45,227.39,207.51,259.09,269.42,285.76,194.41,276,195.11,207.87,144.71,280.67,226.29,283.8,91.41,184.64,245.51,258.71,118.09,226.65,267.88,168.83,,,27,965,0,28.74,
09.12.21 12:57:25,23.3,248.13,176.35,225.92,205.73,259.85,268.27,286.55,188.46,276.39,193.71,203.95,142.4,277.55,222.64,281.84,87.71,183.6,245.14,253.78,116.49,228.12,268.65,163.75,,,27,965,0,28.72,
09.12.21 12:57:40,23.55,248.13,174.64,225.92,207.15,259.09,268.65,287.33,187.76,276.39,193.01,202.17,140.75,279.11,225.56,281.45,85.26,182.9,241.41,251.89,118.41,223.37,272.51,163.75,,,27,965,0,28.71,
09.12.21 12:57:55,23.8,248.13,171.9,225.56,204.3,260.61,267.88,286.55,182.21,275.61,194.41,198.28,140.1,277.55,224.1,280.28,81.29,183.6,236.58,251.89,118.41,223.01,265.96,162.39,,,27,965,0,28.68,
09.12.21 12:58:10,24.05,247.38,168.83,224.83,202.53,260.61,269.04,282.62,180.83,275.22,192.66,194.41,138.79,280.28,221.55,276.77,79.46,180.83,237.32,247.01,117.13,224.83,272.51,170.54,,,27,965,0,28.65,
09.12.21 12:58:25,24.3,247.38,167.47,224.46,201.82,258.71,268.65,282.23,180.14,276.77,196.17,192.66,138.13,278.33,223.01,274.83,75.52,179.79,236.58,249.64,112.05,223.01,271.35,165.1,,,27,965,0,28.65,
09.12.21 12:58:40,24.55,246.63,165.44,224.1,197.93,259.47,267.88,279.11,176.35,275.61,190.91,188.81,136.17,279.5,221.55,270.58,72.5,180.48,231.42,243.64,111.41,229.95,269.04,162.73,,,27,965,0,28.63,
09.12.21 12:58:55,24.8,246.63,162.73,223.37,197.93,258.33,267.88,278.33,174.98,274.06,190.56,182.56,133.24,277.16,224.1,270.58,68.89,183.25,233.26,241.78,109.52,222.64,268.27,168.83,,,27,965,0,28.63,
09.12.21 12:59:10,25.05,246.26,163.75,223.74,197.58,258.33,268.27,277.16,174.98,271.35,192.31,182.9,129.66,278.72,224.1,272.9,66.49,179.1,230.68,237.69,110.46,223.01,267.12,165.1,,,27,965,0,28.61,
09.12.21 12:59:25,25.3,246.26,159.7,223.01,196.52,259.85,268.65,277.16,183.6,272.12,192.66,174.29,129.02,279.89,221.92,267.88,64.11,179.1,231.79,239.18,109.2,219.74,260.23,160.04,,,27,965,0,28.6,
09.12.21 12:59:40,25.55,245.89,158.35,222.28,201.82,257.57,269.42,273.28,170.19,270.58,191.96,169.51,127.08,281.45,223.37,273.28,60.54,177.38,228.12,235.1,108.88,223.01,263.67,158.35,,,27,965,0,28.58,
