Measurement Name :,Plate2_20211204_Alex_31C,,Generated On :,"09/12/2021, 12:09:33",,,Calibration details for Oxygen,,,Report :,"@m02:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 02

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m02:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
09.12.21 11:44:49,10.55,244.96,223.6,189.02,209.45,251.22,234.75,208.04,135.53,258.65,218.62,260.15,130.13,180.18,233.31,230.06,139.05,221.46,247.9,165.46,85.51,225.03,163.14,210.5,,,28,965,0,28.63,
09.12.21 11:45:04,10.8,256.04,218.26,194.16,198.65,259.4,231.5,208.74,121.62,233.67,224.68,227.18,145.16,181.87,247.53,230.42,130.45,226.11,254.19,163.14,101.52,217.2,172.78,208.74,,,28,965,0,28.64,
09.12.21 11:45:19,11.05,264.65,200.38,211.2,196.92,244.59,227.18,193.82,159.51,240.93,215.43,216.85,137.45,165.79,226.82,234.75,127.28,240.93,241.66,155.57,97.26,236.2,152.96,186.97,,,28,965,0,28.67,
09.12.21 11:45:34,11.3,242.76,213.67,188.34,200.72,259.4,235.11,187.99,143.55,227.9,208.39,223.6,143.23,165.46,242.03,221.46,125.71,216.49,255.3,178.83,93.32,228.26,165.46,196.92,,,28,965,0,28.67,
09.12.21 11:45:49,11.55,254.93,230.06,190.73,207.34,257.91,233.67,209.8,149.05,246.8,227.18,249.38,167.78,191.07,244.59,231.86,158.19,238.02,246.06,179.51,101.22,232.94,163.47,200.38,,,28,965,0,28.67,
09.12.21 11:46:04,11.8,237.66,214.02,207.69,191.76,249.38,252.33,198.99,155.9,242.4,221.46,251.22,132.35,175.13,265.02,211.2,141.94,239.84,248.27,181.2,102.74,232.22,180.18,207.34,,,28,965,0,28.7,
09.12.21 11:46:19,12.05,240.57,239.84,206.99,223.25,238.02,233.31,212.96,169.78,253.82,225.39,242.76,162.48,180.86,251.59,223.25,135.85,236.2,247.53,172.78,94.53,231.14,161.82,193.47,,,28,965,0,28.7,
09.12.21 11:46:34,12.3,256.04,230.42,203.85,216.49,242.4,230.42,204.2,158.85,243.49,217.56,242.4,129.5,176.48,264.27,235.11,153.94,227.9,247.16,179.17,87.91,236.57,155.9,199.34,,,28,965,0,28.7,
09.12.21 11:46:49,12.55,222.18,207.69,197.61,225.75,251.22,239.84,204.9,149.7,232.94,218.97,249.38,131.4,165.46,225.03,211.2,127.28,229.7,234.03,160.5,90.91,229.34,159.84,196.92,,,28,965,0,28.71,
09.12.21 11:47:04,12.8,248.27,215.43,210.85,205.25,250.48,237.29,204.9,186.29,240.93,216.14,247.16,144.2,165.12,231.86,226.11,122.56,228.26,238.02,175.8,79.55,232.22,157.87,190.39,,,28,965,0,28.73,
09.12.21 11:47:19,13.05,246.8,228.62,204.55,222.53,268.04,254.56,212.26,125.39,234.03,236.93,246.43,149.7,174.12,260.52,216.85,132.67,229.7,240.93,183.91,92.72,238.38,170.11,218.97,,,28,965,0,28.73,
09.12.21 11:47:34,13.3,234.39,232.22,197.61,196.23,233.31,249.74,196.92,161.49,214.02,210.85,225.39,128.86,166.78,237.66,213.31,135.22,222.89,239.48,164.13,80.44,230.42,159.51,192.1,,,28,965,0,28.74,
09.12.21 11:47:49,13.55,227.54,224.68,204.2,214.02,238.02,236.57,217.91,156.23,231.5,227.18,223.96,125.71,167.78,265.78,208.74,124.13,211.9,232.22,165.12,81.04,235.48,156.88,194.51,,,28,965,0,28.75,
09.12.21 11:48:04,13.8,230.42,218.26,210.15,218.26,258.28,233.67,211.2,167.78,264.27,231.86,252.33,124.45,161.49,250.11,230.42,131.08,234.03,252.7,188.68,82.82,248.64,160.5,193.82,,,28,965,0,28.75,
09.12.21 11:48:19,14.05,263.9,206.99,242.76,192.79,256.79,251.59,230.06,174.12,264.65,226.82,231.5,140.33,151.65,264.27,221.82,132.99,220.4,251.59,182.89,86.71,221.46,173.79,175.13,,,28,965,0,28.78,
09.12.21 11:48:34,14.3,244.59,221.82,219.68,213.67,274.11,235.84,216.49,141.62,249.38,236.2,241.3,159.84,157.21,261.65,225.39,113.52,241.3,230.78,162.48,76.89,225.39,165.46,194.85,,,28,965,0,28.78,
09.12.21 11:48:49,14.55,246.43,234.39,186.63,201.07,239.84,250.48,201.42,157.87,232.58,238.02,221.82,138.09,156.23,264.27,218.97,145.16,223.96,228.26,157.54,77.48,230.42,160.83,195.88,,,28,965,0,28.78,
09.12.21 11:49:04,14.8,251.59,239.84,216.49,213.67,275.25,240.57,228.26,166.78,237.29,222.89,235.84,140.01,165.46,286.38,220.04,126.97,233.31,256.42,174.12,80.15,247.9,169.78,191.76,,,28,965,0,28.8,
09.12.21 11:49:19,15.05,261.65,222.18,202.46,208.74,279.84,236.93,216.85,147.43,248.64,227.9,223.6,153.61,157.87,255.3,231.14,128.23,226.47,251.59,176.81,75.41,239.84,165.79,208.39,,,28,965,0,28.8,
09.12.21 11:49:34,15.3,227.54,220.04,192.79,212.61,268.04,239.11,216.14,145.16,234.75,238.38,234.39,146.13,156.23,243.86,222.53,119.43,229.7,227.9,169.78,71.88,228.26,151.65,193.13,,,28,965,0,28.81,
09.12.21 11:49:49,15.55,259.77,230.42,204.9,212.61,248.27,239.84,236.93,172.78,249.38,243.49,227.18,141.3,154.59,268.8,224.68,123.82,220.04,245.69,169.78,65.45,230.42,173.79,184.59,,,28,965,0,28.81,
09.12.21 11:50:04,15.8,255.3,216.14,205.95,215.43,254.19,257.91,233.67,151,250.48,234.75,243.49,138.73,165.46,280.99,220.4,136.49,220.75,264.65,156.88,68.95,246.8,160.17,192.1,,,28,965,0,28.83,
09.12.21 11:50:19,16.05,265.4,215.78,211.9,216.85,260.9,244.59,231.14,160.17,260.52,228.26,242.76,160.83,178.16,264.27,242.03,135.85,225.75,249.38,165.79,82.53,242.03,172.78,196.57,,,28,965,0,28.85,
09.12.21 11:50:34,16.3,236.2,217.2,207.69,202.11,253.44,239.48,222.89,136.17,239.48,220.75,253.07,140.98,153.61,267.29,225.75,117.25,228.98,237.66,158.52,77.18,234.03,159.84,181.87,,,28,965,0,28.85,
09.12.21 11:50:49,16.55,267.66,227.18,206.64,212.26,253.44,262.77,233.67,146.46,242.4,244.59,221.82,138.41,163.8,269.17,226.11,144.2,217.56,247.9,175.8,80.44,250.11,165.79,186.29,,,28,965,0,28.84,
09.12.21 11:51:04,16.8,251.22,223.96,204.9,206.99,266.53,230.42,235.11,173.45,246.8,248.64,234.03,149.38,153.61,288.31,211.9,126.02,226.11,255.3,169.78,59.64,223.6,154.59,194.16,,,28,965,0,28.85,
09.12.21 11:51:19,17.05,230.42,217.56,201.07,180.86,258.28,252.33,234.75,152.3,250.11,238.38,224.68,144.52,149.7,250.48,209.09,116,206.64,244.59,179.17,58.78,229.7,161.82,183.57,,,28,965,0,28.86,
09.12.21 11:51:34,17.3,230.06,217.2,210.85,210.85,289.09,250.48,216.14,167.11,244.23,249.38,232.94,159.51,177.48,271.83,232.22,113.52,212.61,247.16,157.87,70.71,223.96,166.78,200.72,,,28,965,0,28.88,
09.12.21 11:51:49,17.55,243.86,244.59,230.42,207.69,265.78,240.2,227.9,144.2,237.66,243.13,237.29,147.75,170.44,267.66,217.2,90.31,213.31,254.19,179.17,63.7,233.67,176.14,195.88,,,28,965,0,28.88,
09.12.21 11:52:04,17.8,233.67,214.37,214.72,212.61,250.85,227.9,238.02,151.33,236.2,239.11,236.2,143.55,164.13,257.16,205.6,100.91,205.95,232.58,191.41,59.06,238.75,154.26,187.99,,,28,965,0,28.88,
09.12.21 11:52:19,18.05,251.59,214.72,211.9,204.9,249.74,238.38,229.34,151.65,242.4,239.84,232.94,140.33,169.44,256.42,206.64,110.12,220.75,244.59,170.78,55.03,247.9,159.18,201.42,,,28,965,0,28.88,
09.12.21 11:52:34,18.3,235.48,208.74,223.96,211.9,261.65,223.25,239.48,140.98,249.74,230.06,240.2,138.09,153.61,254.56,222.18,120.37,217.56,236.57,174.12,47.88,235.48,158.19,172.45,,,28,965,0,28.91,
09.12.21 11:52:49,18.55,243.49,211.2,208.04,194.51,249.74,241.66,238.75,145.81,246.06,240.93,232.58,127.92,165.12,261.65,204.2,100,218.26,256.42,158.52,60.51,223.96,171.45,192.79,,,28,965,0,28.92,
09.12.21 11:53:04,18.8,247.9,221.82,209.09,209.45,272.21,241.3,262.02,160.83,235.48,268.42,243.86,139.05,165.12,267.66,197.26,119.43,216.49,249.38,174.46,52.16,236.93,184.93,190.04,,,28,965,0,28.92,
09.12.21 11:53:19,19.05,263.15,212.96,215.78,196.23,246.06,242.76,233.67,136.17,246.06,228.62,214.72,136.81,158.85,272.97,204.9,109.19,227.54,231.86,177.15,45.33,235.48,164.46,184.93,,,28,965,0,28.94,
09.12.21 11:53:34,19.3,254.19,222.89,227.54,204.55,263.52,254.56,255.67,150.03,244.96,257.91,225.39,148.08,154.59,268.04,216.85,104.58,230.42,248.27,176.81,72.76,249.01,167.78,189.02,,,28,965,0,28.94,
09.12.21 11:53:49,19.55,238.38,233.67,201.42,197.26,250.85,232.58,226.82,134.26,237.66,256.04,215.08,132.67,138.41,258.65,210.85,116,212.61,234.75,174.8,36.58,227.18,150.35,164.79,,,28,965,0,28.96,
09.12.21 11:54:04,19.8,238.02,228.62,232.22,185.61,261.65,246.8,264.65,143.87,249.74,256.04,244.96,145.81,168.78,282.14,191.07,114.14,214.72,242.4,171.45,72.17,241.3,157.87,194.16,,,28,965,0,28.96,
09.12.21 11:54:19,20.05,243.86,223.6,228.62,209.45,263.9,246.06,249.74,149.05,250.48,250.85,240.57,145.81,166.12,265.4,218.97,116.94,228.98,251.59,179.51,60.51,240.57,171.78,185.27,,,28,965,0,28.98,
09.12.21 11:54:34,20.3,243.13,224.32,231.14,209.45,265.4,244.23,247.9,148.08,250.48,249.01,239.11,144.2,167.45,262.39,218.26,116.31,228.98,251.59,176.81,59.64,244.59,171.45,183.57,,,28,965,0,28.96,
09.12.21 11:54:49,20.55,244.23,224.32,222.53,209.8,263.9,243.86,242.76,147.43,253.07,245.33,239.48,143.23,169.78,259.4,217.2,116.31,229.34,251.22,176.81,59.35,240.2,170.44,183.23,,,28,965,0,28.94,
09.12.21 11:55:04,20.8,244.23,223.6,223.25,208.74,265.02,242.4,240.57,146.78,251.96,243.49,238.38,140.66,172.12,256.79,214.02,115.69,227.9,251.22,174.12,58.2,239.48,170.11,182.21,,,28,965,0,28.92,
09.12.21 11:55:19,21.05,244.96,225.03,220.04,208.74,265.4,240.2,236.2,145.81,253.44,241.66,238.75,138.41,172.12,253.07,214.37,114.14,228.98,250.85,172.78,57.33,239.84,170.11,182.21,,,28,965,0,28.92,
09.12.21 11:55:34,21.3,245.69,230.42,220.04,210.5,265.4,238.02,235.11,145.16,254.19,239.84,238.38,137.45,172.78,250.48,212.61,113.83,228.98,251.59,170.11,57.33,239.84,169.44,182.21,,,28,965,0,28.92,
09.12.21 11:55:49,21.55,246.06,225.03,222.89,209.09,264.65,236.93,228.98,144.2,254.56,237.29,238.38,134.9,173.12,247.53,210.15,113.21,229.34,250.85,168.78,56.76,239.84,169.78,180.52,,,28,965,0,28.91,
09.12.21 11:56:04,21.8,246.8,225.03,218.26,209.09,265.78,235.48,226.47,145.49,254.93,235.11,238.38,133.3,172.45,245.69,208.39,112.28,229.34,251.59,164.79,55.32,240.2,168.78,180.86,,,28,965,0,28.91,
09.12.21 11:56:19,22.05,246.06,225.03,208.39,209.09,265.78,232.94,221.82,143.55,256.42,233.31,238.02,130.45,171.45,243.86,207.69,111.97,228.26,251.22,163.14,54.46,238.75,168.11,179.51,,,28,965,0,28.92,
09.12.21 11:56:34,22.3,246.8,224.68,195.19,210.15,267.66,230.42,217.91,142.58,258.28,231.5,237.66,128.23,169.78,241.66,205.6,111.35,228.26,251.22,158.85,53.88,238.38,167.11,178.5,,,28,965,0,28.91,
09.12.21 11:56:49,22.55,246.8,224.68,196.23,209.09,266.53,226.82,216.85,141.94,259.03,228.62,237.29,127.6,170.44,240.57,204.9,111.66,228.98,250.48,157.21,53.88,238.02,165.79,178.83,,,28,965,0,28.91,
09.12.21 11:57:04,22.8,247.16,223.96,187.99,208.74,265.4,224.68,212.96,140.98,259.4,227.9,237.66,125.71,169.44,238.02,204.2,110.42,228.26,251.59,152.96,53.02,236.93,164.46,177.82,,,28,965,0,28.91,
09.12.21 11:57:19,23.05,249.01,224.68,190.04,208.04,266.91,221.82,207.34,140.33,260.52,225.39,238.38,124.45,168.78,238.02,202.46,110.42,227.9,251.22,151.65,52.74,236.57,162.81,176.81,,,28,965,0,28.92,
09.12.21 11:57:34,23.3,248.27,223.6,184.93,207.34,266.15,218.97,208.04,138.09,261.27,224.68,238.38,124.45,173.45,236.2,200.72,108.88,227.9,251.22,150.35,52.16,236.2,162.15,176.48,,,28,965,0,28.91,
09.12.21 11:57:49,23.55,248.64,223.96,182.21,206.3,266.53,217.56,203.16,137.77,262.02,222.53,238.02,125.39,168.11,234.75,199.68,108.57,228.62,250.11,147.43,51.88,234.75,160.17,174.8,,,28,965,0,28.92,
09.12.21 11:58:04,23.8,247.53,223.96,181.87,205.6,269.17,215.08,201.77,136.81,262.77,221.46,237.66,126.65,165.79,234.75,197.95,108.27,228.62,250.85,145.81,50.73,234.39,158.85,174.8,,,28,965,0,28.92,
09.12.21 11:58:19,24.05,247.53,222.18,176.14,204.2,267.66,212.96,194.16,135.53,262.39,220.75,236.93,128.23,166.12,232.94,195.54,107.34,228.26,250.85,143.23,50.73,233.31,157.21,173.45,,,28,965,0,28.92,
09.12.21 11:58:34,24.3,247.9,223.96,182.55,203.16,266.53,210.5,193.47,133.62,263.9,217.56,237.29,130.13,167.11,231.86,193.82,106.42,228.26,250.48,142.58,50.45,232.58,156.55,173.45,,,28,965,0,28.92,
09.12.21 11:58:49,24.55,247.16,222.89,172.45,202.46,266.53,209.45,190.73,132.99,262.77,216.14,236.57,130.45,163.8,230.06,192.1,106.42,228.26,250.11,141.94,49.88,231.86,154.59,172.78,,,28,965,0,28.94,
09.12.21 11:59:04,24.8,249.38,223.6,171.78,201.07,268.04,205.6,189.7,134.26,262.77,214.72,236.93,129.5,162.15,230.06,190.39,104.58,228.26,250.11,142.58,49.31,231.5,152.63,170.78,,,28,965,0,28.94,
09.12.21 11:59:19,25.05,248.27,221.82,169.11,199.68,267.29,204.2,186.63,129.18,262.77,213.31,236.2,130.45,161.16,228.98,188.34,104.27,228.26,250.11,140.66,49.02,231.14,151.33,170.11,,,28,965,0,28.95,
09.12.21 11:59:34,25.3,246.8,223.6,164.13,198.65,268.04,202.11,184.93,128.86,263.9,210.85,236.57,128.23,160.17,229.34,186.97,103.35,227.9,251.96,141.3,49.02,230.78,149.7,170.78,,,28,965,0,28.95,
09.12.21 11:59:49,25.55,248.27,223.25,162.81,195.54,266.91,198.99,183.91,127.28,263.15,209.8,236.93,126.97,159.51,228.62,184.25,103.66,228.62,250.11,140.98,48.45,228.98,148.4,168.78,,,28,965,0,28.95,
