Measurement Name :,20210618_Mcap_641_30C_Run1,,Generated On :,"18/06/2021, 17:27:18",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"18/06/2021, 16:31:26",,,,,,Batch No.:  ,PSt5-1624-01_25¡C,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"18/06/2021, 17:26:43",,,,,,O2_cal0 [¡],54.76,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [¡],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [¡C],24.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],965,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [¡C],p [mbar],Salinity [g/1000g],T_internal [¡C],Error
18.06.21 16:31:28,0.03,175.99,186.89,180.16,193.12,158.26,165.84,184.35,186.04,185.2,184.64,193.69,174.33,165.56,181.27,195.69,189.43,188.58,172.68,205.78,200.85,176.82,167.2,184.35,186.32,,30,965,34,30.58,965D6-(E1);
18.06.21 16:31:43,0.28,198.55,194.26,203.17,198.55,179.6,180.44,208.98,194.54,184.35,178.77,182.39,209.57,192.55,167.74,191.41,192.83,188.58,204.62,222.28,196.54,181.27,193.4,209.28,202.88,,30,965,34,30.61,965D6-(E1);
18.06.21 16:31:58,0.53,196.26,211.33,186.32,206.94,168.84,175.99,189.71,197.4,183.79,202.88,196.83,207.52,191.98,179.88,185.76,199.99,200.85,202.01,214.56,192.83,172.68,174.33,193.69,199.7,,30,965,34,30.65,965D6-(E1);
18.06.21 16:32:13,0.78,193.69,193.69,184.64,204.33,186.04,177.38,194.26,195.69,198.55,206.65,199.99,190.28,178.49,189.71,192.26,187.17,208.98,211.91,192.55,207.82,172.4,181,214.86,196.83,,30,965,34,30.68,965D6-(E1);
18.06.21 16:32:28,1.03,179.05,185.2,197.12,198.55,170.48,188.3,170.76,194.83,177.38,167.2,188.58,183.79,162.58,159.88,184.35,191.41,191.13,196.54,207.23,189.14,188.01,186.32,216.63,188.86,,30,965,34,30.69,965D6-(E1);
18.06.21 16:32:43,1.28,195.97,200.28,193.69,212.5,184.64,184.64,205.78,198.55,196.83,189.14,199.41,196.26,170.76,202.3,181.83,190.84,181.55,179.88,224.97,206.07,191.13,187.45,205.2,209.86,,30,965,34,30.72,965D6-(E1);
18.06.21 16:32:58,1.53,196.83,201.14,180.16,201.72,179.05,186.89,184.07,197.4,210.45,176.27,186.04,197.4,163.66,180.16,183.23,177.38,165.84,194.26,186.89,193.97,177.66,187.17,203.75,189.14,,30,965,34,30.75,965D6-(E1);
18.06.21 16:33:13,1.78,169.39,190.84,181.27,196.54,185.76,183.23,183.79,200.28,165.02,188.3,180.16,190.56,171.85,187.73,175.16,199.99,186.89,182.39,179.05,194.83,185.76,183.51,211.91,186.6,,30,965,34,30.78,965D6-(E1);
18.06.21 16:33:28,2.03,197.4,211.03,193.4,214.27,190.28,206.65,195.69,204.91,202.3,193.4,208.4,203.46,191.7,199.7,194.54,198.84,219.89,195.4,214.86,210.74,195.97,193.69,221.98,197.69,,30,965,34,30.82,965D6-(E1);
18.06.21 16:33:43,2.28,203.17,213.38,181.27,213.09,194.54,192.55,197.4,203.17,189.99,182.95,193.97,208.98,186.89,195.11,202.3,192.26,175.16,191.13,210.74,194.26,185.76,192.26,216.04,195.69,,30,965,34,30.83,965D6-(E1);
18.06.21 16:33:58,2.53,188.01,206.65,204.33,207.82,205.78,185.48,210.15,206.94,178.49,195.11,191.98,200.28,196.26,187.73,186.32,204.62,200.28,179.6,213.09,215.45,196.83,189.14,200.85,194.26,,30,965,34,30.86,965D6-(E1);
18.06.21 16:34:13,2.78,192.55,195.97,193.12,212.21,172.96,175.72,206.07,189.14,208.69,189.71,178.49,199.41,170.48,176.55,196.83,206.07,211.91,208.4,213.09,201.14,186.89,190.28,213.97,196.54,,30,965,34,30.88,965D6-(E1);
18.06.21 16:34:28,3.03,208.11,210.15,193.4,219.89,197.12,192.55,204.33,199.7,180.16,191.7,196.54,202.59,201.72,176.27,190.56,206.36,194.83,197.12,223.77,213.68,188.86,179.32,211.03,194.83,,30,965,34,30.91,965D6-(E1);
18.06.21 16:34:43,3.28,200.57,211.91,207.23,218.7,195.4,185.76,214.27,208.11,193.4,205.2,197.98,212.79,209.86,189.14,198.55,207.23,193.97,205.78,197.69,223.77,199.41,183.23,208.69,210.15,,30,965,34,30.93,965D6-(E1);
18.06.21 16:34:58,3.53,206.07,189.71,208.98,218.11,217.22,206.36,204.33,204.33,190.56,204.33,204.04,217.81,222.28,183.51,218.7,204.33,229.49,198.26,223.17,213.68,189.43,198.26,215.45,207.23,,30,965,34,30.97,965D6-(E1);
18.06.21 16:35:13,3.78,188.86,198.55,192.83,196.54,198.84,176.55,195.69,205.49,185.2,200.28,198.26,214.27,175.16,197.12,195.97,184.92,206.65,189.99,204.91,194.83,168.84,189.43,194.83,183.79,,30,965,34,31,965D6-(E1);
18.06.21 16:35:28,4.03,214.27,208.4,210.45,205.49,193.12,195.97,187.73,211.91,202.3,182.39,191.98,202.59,201.72,178.21,207.82,195.4,203.46,196.83,188.01,225.57,195.69,204.62,224.67,199.41,,30,965,34,31.01,965D6-(E1);
18.06.21 16:35:43,4.28,213.68,185.76,201.14,222.87,193.12,183.51,201.72,202.3,189.43,203.75,199.41,208.98,195.69,215.15,206.36,195.97,217.81,185.2,212.21,199.13,181.55,187.45,210.74,203.46,,30,965,34,31.04,965D6-(E1);
18.06.21 16:35:58,4.53,210.15,195.97,204.91,213.38,193.4,185.2,203.17,200.28,187.45,187.73,169.93,209.28,202.88,208.11,198.55,198.84,194.54,203.75,197.98,197.98,174.06,189.43,223.77,206.65,,30,965,34,31.04,965D6-(E1);
18.06.21 16:36:13,4.78,191.13,194.83,190.56,201.72,183.51,188.01,182.39,201.43,200.85,198.26,180.72,213.97,186.04,187.45,202.3,208.98,193.97,188.01,193.97,211.62,184.07,184.07,217.22,196.54,,30,965,34,31.08,965D6-(E1);
18.06.21 16:36:28,5.03,215.74,220.49,209.57,213.97,198.55,186.89,212.79,207.52,189.99,201.43,184.64,201.43,206.36,207.23,204.33,199.41,217.52,202.59,206.07,204.62,186.6,185.76,202.3,206.65,,30,965,34,31.1,965D6-(E1);
18.06.21 16:36:43,5.28,213.97,217.52,205.78,215.15,205.2,200.85,216.33,212.79,182.39,189.71,212.79,200.57,188.58,192.55,215.74,187.73,225.27,195.4,211.91,199.99,183.79,182.95,232.52,201.14,,30,965,34,31.11,965D6-(E1);
18.06.21 16:36:58,5.53,204.91,210.74,211.91,221.38,221.08,205.49,224.97,209.57,193.97,200.85,211.91,219,216.63,195.69,208.98,212.21,196.26,201.14,213.38,219,187.73,197.12,221.68,203.46,,30,965,34,31.15,965D6-(E1);
18.06.21 16:37:13,5.78,211.62,216.92,211.91,224.97,196.26,196.54,211.33,213.38,191.98,219.6,183.79,205.2,206.07,196.83,206.65,203.46,204.04,190.28,218.11,202.59,178.77,181,232.82,213.38,,30,965,34,31.15,965D6-(E1);
18.06.21 16:37:28,6.03,197.98,217.81,198.26,213.09,193.12,194.83,202.3,206.07,195.4,191.41,195.11,213.09,194.54,197.12,197.98,198.26,182.11,181,221.98,211.03,175.16,183.23,208.69,199.41,,30,965,34,31.18,965D6-(E1);
18.06.21 16:37:43,6.28,197.4,193.12,203.17,216.04,176.27,197.12,215.15,204.04,174.61,209.28,199.99,219.3,192.26,198.55,223.77,187.73,187.45,189.14,221.08,196.54,190.84,193.97,208.69,186.89,,30,965,34,31.21,965D6-(E1);
18.06.21 16:37:58,6.53,223.17,215.45,219,230.39,198.26,212.5,214.56,214.56,210.15,232.82,223.17,238.62,197.12,208.69,235.25,204.33,225.87,200.85,216.04,239.23,197.4,217.52,259.19,212.79,,30,965,34,31.22,965D6-(E1);
18.06.21 16:38:13,6.78,207.52,199.99,206.07,226.77,190.28,219.89,207.82,214.56,196.26,185.2,187.45,222.58,191.7,219.6,195.97,225.87,208.98,177.1,224.67,217.81,178.21,194.54,189.71,199.41,,30,965,34,31.25,965D6-(E1);
18.06.21 16:38:28,7.03,207.82,216.63,199.41,221.98,194.54,220.79,226.47,222.87,181.55,223.47,224.97,238.31,202.88,206.65,232.52,231.91,211.33,222.87,212.79,204.33,191.41,191.7,212.79,222.87,,30,965,34,31.26,965D6-(E1);
18.06.21 16:38:43,7.28,216.33,226.77,217.52,231.61,224.97,207.52,211.62,228.58,193.97,208.98,209.86,220.19,194.54,208.98,205.49,208.98,212.21,225.87,221.08,234.34,200.28,195.4,242.31,195.69,,30,965,34,31.29,965D6-(E1);
18.06.21 16:38:58,7.53,207.82,224.67,206.94,234.64,192.26,225.57,225.57,228.28,190.84,215.15,207.52,209.28,204.04,221.68,208.4,217.52,227.07,177.66,242.93,223.17,187.17,188.58,232.21,208.98,,30,965,34,31.32,965D6-(E1);
18.06.21 16:39:13,7.78,213.09,206.94,202.01,232.21,210.74,208.69,207.23,217.52,179.05,201.14,215.15,213.97,178.21,184.07,222.87,202.59,240.15,214.27,238.31,217.81,173.78,183.79,227.37,205.2,,30,965,34,31.33,965D6-(E1);
18.06.21 16:39:28,8.03,211.91,202.59,215.74,202.3,193.97,213.68,201.72,203.46,177.66,201.43,191.13,213.97,195.4,211.91,206.94,203.46,211.91,219,192.55,214.56,188.3,190.56,216.92,187.73,,30,965,34,31.36,965D6-(E1);
18.06.21 16:39:43,8.28,205.2,231.3,205.78,229.79,199.13,201.72,217.22,217.52,202.59,200.57,199.7,198.26,207.52,206.94,202.59,219,228.88,212.79,234.04,224.67,203.75,185.48,233.73,204.04,,30,965,34,31.39,965D6-(E1);
18.06.21 16:39:58,8.53,198.55,223.17,219.6,241.38,213.09,208.4,221.98,228.58,190.84,221.38,210.45,225.87,203.46,198.55,220.49,207.52,204.62,218.11,236.78,239.23,197.69,195.11,230.39,210.74,,30,965,34,31.41,965D6-(E1);
18.06.21 16:40:13,8.78,219,232.21,219.3,254.46,200.85,228.28,240.77,234.64,196.54,221.38,218.41,236.78,224.97,232.52,239.54,204.91,214.56,218.7,231.91,209.57,210.74,199.41,246.02,211.91,,30,965,34,31.41,965D6-(E1);
18.06.21 16:40:28,9.03,217.52,214.86,207.82,231.3,208.69,217.81,216.63,224.67,187.73,219,208.98,211.33,222.58,219.6,229.49,212.5,220.49,208.69,216.92,229.18,191.41,200.28,246.02,208.69,,30,965,34,31.43,965D6-(E1);
18.06.21 16:40:43,9.28,225.87,242.31,245.09,252.26,207.82,228.58,229.79,249.44,203.46,244.47,210.15,235.86,214.56,225.87,215.15,222.28,234.95,221.68,243.54,242,222.58,193.4,256.35,223.47,,30,965,34,31.47,965D6-(E1);
18.06.21 16:40:58,9.53,232.21,236.48,213.09,244.78,212.79,237.09,232.82,226.47,205.2,221.38,213.38,224.67,189.71,224.67,237.39,205.49,216.04,220.49,254.46,245.4,207.82,217.81,240.15,221.38,,30,965,34,31.5,965D6-(E1);
18.06.21 16:41:13,9.78,208.69,224.37,219.3,231,203.75,224.37,231.3,235.56,194.54,228.88,201.43,220.79,227.68,233.43,215.15,204.04,189.14,204.33,231.61,219.6,198.55,192.55,242.31,224.97,,30,965,34,31.51,965D6-(E1);
18.06.21 16:41:28,10.03,227.07,226.17,222.58,235.86,190.28,228.28,214.56,235.56,188.01,224.67,222.28,248.51,217.81,215.74,224.37,212.21,217.52,202.3,213.68,226.47,216.63,199.41,214.56,199.7,,30,965,34,31.53,965D6-(E1);
18.06.21 16:41:43,10.28,214.56,228.28,229.79,246.02,204.62,216.04,235.25,220.79,188.01,247.26,214.27,232.52,220.19,228.88,206.07,205.49,214.56,189.99,231.61,242.93,198.55,216.33,246.33,212.21,,30,965,34,31.55,965D6-(E1);
18.06.21 16:41:58,10.53,208.69,235.56,219,237.09,202.3,230.7,238.31,225.57,174.61,219.6,215.45,235.25,223.77,225.57,215.15,204.04,238.92,199.99,236.48,237.7,195.69,189.71,256.66,215.74,,30,965,34,31.57,965D6-(E1);
18.06.21 16:42:13,10.78,209.86,210.45,231,224.67,197.12,203.46,217.81,215.15,189.99,179.88,191.13,219,200.57,222.58,230.09,206.36,227.98,191.98,219.6,222.28,194.26,189.99,216.04,202.59,,30,965,34,31.58,965D6-(E1);
18.06.21 16:42:28,11.03,217.22,233.73,238.31,245.71,223.47,232.21,242.93,223.77,220.79,225.57,197.98,248.2,227.07,219,206.36,216.33,222.87,207.82,231.3,245.71,208.11,214.27,242,211.62,,30,965,34,31.61,965D6-(E1);
18.06.21 16:42:43,11.28,229.49,221.08,237.39,246.33,233.73,214.27,234.04,228.28,209.57,233.73,232.52,234.64,230.7,212.79,213.68,206.65,234.64,221.68,264.61,263.65,216.04,209.86,240.77,221.38,,30,965,34,31.63,965D6-(E1);
18.06.21 16:42:58,11.53,218.41,227.07,236.78,235.56,213.68,225.27,226.77,226.77,183.51,237.09,217.52,213.97,219.89,209.28,237.39,195.11,203.46,179.88,237.7,232.21,192.83,201.14,252.26,221.38,,30,965,34,31.65,965D6-(E1);
18.06.21 16:43:13,11.78,209.28,210.45,230.7,231,208.98,224.37,223.77,219,198.26,214.56,215.45,220.49,209.57,221.98,232.52,218.41,198.84,180.72,251.32,242.62,193.4,207.23,238.31,208.69,,30,965,34,31.66,965D6-(E1);
18.06.21 16:43:28,12.03,210.15,219,219.6,223.17,200.57,209.86,230.09,235.86,185.2,205.2,206.65,243.54,221.08,222.28,221.98,215.45,204.04,206.65,257.93,232.21,188.86,202.01,252.26,206.36,,30,965,34,31.68,965D6-(E1);
18.06.21 16:43:43,12.28,215.45,209.57,232.52,238.01,206.36,218.41,230.7,227.98,195.97,211.91,212.21,238.62,246.02,223.47,231.61,204.91,219.89,193.97,231.61,219.89,200.28,197.4,250.69,219.3,,30,965,34,31.71,965D6-(E1);
18.06.21 16:43:58,12.53,225.27,219.3,239.54,223.17,207.52,236.78,229.79,235.56,213.09,226.17,218.11,230.7,242.31,229.18,234.04,219.3,237.39,203.46,244.78,243.24,196.26,205.2,227.07,205.2,,30,965,34,31.72,965D6-(E1);
18.06.21 16:44:13,12.78,233.73,241.38,232.52,244.78,226.77,222.87,234.64,235.56,194.54,213.68,226.77,240.15,229.18,233.43,233.12,204.91,228.28,195.69,259.19,235.86,210.15,189.71,238.62,220.19,,30,965,34,31.75,965D6-(E1);
18.06.21 16:44:28,13.03,226.17,238.92,221.08,259.19,223.47,215.15,232.21,229.79,186.32,228.88,210.45,237.39,220.19,239.85,229.79,194.83,215.45,214.86,253.51,237.39,208.11,175.99,246.64,213.09,,30,965,34,31.76,965D6-(E1);
18.06.21 16:44:43,13.28,212.5,228.28,240.46,237.39,208.4,231.3,239.54,242.62,195.69,212.79,227.98,250.07,220.19,203.17,220.49,208.4,221.98,205.78,253.2,216.63,216.33,188.58,249.76,218.11,,30,965,34,31.79,965D6-(E1);
18.06.21 16:44:58,13.53,235.25,234.04,237.7,256.03,206.94,232.21,226.77,237.39,189.14,225.87,236.48,240.15,219.89,224.07,244.78,217.22,233.12,227.68,233.43,251.63,210.74,185.48,251.01,218.11,,30,965,34,31.79,965D6-(E1);
18.06.21 16:45:13,13.78,215.74,219.6,236.48,246.33,200.57,218.7,252.57,238.62,186.6,217.81,216.63,253.2,216.04,235.25,243.85,209.86,241.69,210.45,242.31,238.62,220.49,183.79,241.38,209.57,,30,965,34,31.82,965D6-(E1);
18.06.21 16:45:28,14.03,217.81,236.78,243.85,252.57,226.77,246.64,252.26,257.93,217.22,229.49,249.44,244.47,259.19,257.3,245.71,211.91,228.88,199.13,264.61,229.49,219,199.7,270.71,210.45,,30,965,34,31.83,965D6-(E1);
18.06.21 16:45:43,14.28,233.73,219,242,256.66,218.41,222.87,242.62,234.95,190.28,208.98,229.18,224.97,237.39,221.68,242.62,204.04,223.77,197.98,251.32,241.08,203.75,194.26,237.09,218.41,,30,965,34,31.85,965D6-(E1);
18.06.21 16:45:58,14.53,227.98,238.92,233.12,242,233.43,234.64,245.4,243.85,205.49,205.49,232.82,269.42,216.33,226.47,233.43,228.88,246.33,212.79,269.1,241.69,222.28,202.88,258.88,227.98,,30,965,34,31.86,965D6-(E1);
18.06.21 16:46:13,14.78,242,240.15,240.46,255.09,217.52,232.52,231.91,236.17,212.21,230.7,221.68,250.07,231.61,220.49,247.89,231.61,227.68,184.92,257.93,223.47,211.62,191.7,254.14,224.67,,30,965,34,31.89,965D6-(E1);
18.06.21 16:46:28,15.03,244.47,246.33,239.54,253.83,232.21,230.7,252.89,248.82,221.68,238.31,236.48,261.42,226.47,229.18,260.15,216.92,215.74,211.91,246.02,273.95,230.09,201.43,258.56,229.18,,30,965,34,31.9,965D6-(E1);
18.06.21 16:46:43,15.28,232.21,238.62,261.42,245.09,219.3,236.17,241.38,236.17,186.32,229.49,243.24,255.4,227.07,220.49,246.33,204.04,232.52,168.29,244.47,246.33,209.28,196.83,252.26,234.95,,30,965,34,31.91,965D6-(E1);
18.06.21 16:46:58,15.53,232.82,242,243.24,255.4,220.19,239.23,269.74,257.61,197.12,234.04,234.34,259.83,246.02,222.28,266.21,225.57,224.07,187.45,268.13,285.74,218.11,202.01,271.03,212.21,,30,965,34,31.93,965D6-(E1);
18.06.21 16:47:13,15.78,242.93,226.17,235.25,244.47,206.36,208.4,247.89,233.12,194.54,233.73,232.21,234.64,223.47,226.47,271.36,227.68,246.33,208.98,256.35,249.44,217.81,201.14,250.38,200.28,,30,965,34,31.94,965D6-(E1);
18.06.21 16:47:28,16.03,220.19,227.37,228.88,252.89,229.79,233.12,233.73,234.04,213.09,219.6,208.69,249.13,240.77,215.74,261.73,210.45,244.16,204.91,262.37,269.1,211.03,201.72,260.78,231,,30,965,34,31.97,965D6-(E1);
18.06.21 16:47:43,16.28,227.68,250.07,240.77,254.46,211.03,242,234.95,242.62,200.57,211.33,239.23,255.09,246.64,231.61,262.69,217.52,188.3,210.45,248.2,249.44,224.97,197.4,252.89,216.92,,30,965,34,32,965D6-(E1);
18.06.21 16:47:58,16.53,232.52,227.68,226.17,246.33,219.3,243.24,235.86,230.39,176.82,224.37,225.87,251.95,222.58,231.91,258.24,210.74,217.81,198.26,254.46,256.98,210.15,184.35,256.66,215.45,,30,965,34,32.01,965D6-(E1);
18.06.21 16:48:13,16.78,218.7,228.88,250.69,261.42,223.47,244.47,232.82,233.73,197.69,228.88,234.34,253.83,222.28,218.41,243.24,246.95,230.09,215.45,246.02,252.57,211.03,208.69,257.93,227.68,,30,965,34,32.03,965D6-(E1);
18.06.21 16:48:28,17.03,243.54,224.97,252.57,253.51,224.37,223.77,246.02,248.82,219,212.5,235.25,253.51,229.79,226.17,261.1,231,238.92,191.7,260.46,251.01,219,184.92,242,214.86,,30,965,34,32.05,965D6-(E1);
18.06.21 16:48:43,17.28,219.89,236.78,248.2,254.46,224.97,212.21,232.52,245.09,213.38,215.15,227.37,255.09,204.62,223.47,234.95,208.98,222.87,215.74,263.01,233.43,210.74,194.83,262.69,215.74,,30,965,34,32.05,965D6-(E1);
18.06.21 16:48:58,17.53,232.82,238.62,246.02,243.85,221.98,234.64,233.12,245.4,172.4,210.74,247.89,250.69,259.51,215.15,230.7,209.28,218.41,191.7,234.95,233.43,208.98,194.26,255.72,231,,30,965,34,32.08,965D6-(E1);
18.06.21 16:49:13,17.78,228.58,221.68,228.58,232.82,209.28,221.68,225.27,242.93,205.2,242.93,228.88,263.33,246.33,217.22,238.92,222.87,225.57,219.3,269.42,258.24,204.62,179.32,263.33,219.89,,30,965,34,32.1,965D6-(E1);
18.06.21 16:49:28,18.03,234.04,244.47,254.46,249.76,240.15,232.52,244.47,249.44,216.92,220.79,237.09,273.62,240.46,273.3,270.39,221.68,266.53,218.7,221.38,235.86,219,212.21,273.3,236.78,,30,965,34,32.11,965D6-(E1);
18.06.21 16:49:43,18.28,238.01,238.92,248.2,268.13,239.23,238.01,238.01,241.38,181.83,235.86,246.33,265.57,244.78,241.08,265.57,233.73,240.15,230.39,259.19,242.93,213.38,211.91,258.56,235.86,,30,965,34,32.13,965D6-(E1);
