"","Compound","Ambient _ mean","Ambient _ se","High _ mean","High _ se"
"32","Glycine",0.00902674332814399,0.00179994383875771,0.0101567789965002,0.00208136060406411
"33","GMP",0.00386184040172829,0.000491020608776825,0.00284366698972534,0.000177493699726717
"34","Guanine",0.0303322193751836,0.0053278885597342,0.0564080716119098,0.0101928709369464
"35","Guanosine",0.00310499638146587,0.000127143150799461,0.00157133054464568,0.00026631108965824
"36","Homoarginine",0.00254126732846192,0.00141688394423717,0.00185769397515264,0.00120574312931405
"37","Hydroxyproline",0,0,0,0
"38","Hypotaurine",0,0,0,0
"39","Hypoxanthine",0,0,0,0
"40","Inosine",0.0037845761095631,0.000429704849397016,0.00384257812364845,0.000660702285642636
"41","Inositol",0.00429842841642423,0.000454183581885787,0.00372993868009536,0.000241182163196517
"42","Isocitrate",0.263991782901477,0.00276799967894231,0.250498678439405,0.0077208552821736
"43","Isoleucine",0.00349046397214946,0.000356593978823505,0.00337996166811135,0.000391314477933235
"44","L-arginino-succinate",0.0160763688563298,0.00191090223316028,0.00188461761899348,0.00165530020115003
"45","Lactate",0.130208538961489,0.0136717940575076,0.0821663454555209,0.0173720545043338
"46","Leucine",0.00269312645216713,0.000360567736437783,0.00168809399998694,0.000356275954286232
"47","Lysine",0.0167963505915775,0.00100839735121688,0.0221054396390105,0.00201643629571514
"48","Malate",0.0854179603338835,0.00422051883901107,0.0910999832227888,0.00482617213813414
"49","Mannose-6-phosphate",0.154851807921636,0.0154444133634548,0.143337693367403,0.011184277506571
"50","Methionine sulfoxide",0.248786024559245,0.0120499084005017,0.267709156352947,0.00855076010739126
"51","Montiporic Acid A",4.13084851790729e-05,2.01514460056615e-05,3.27555889688929e-05,2.10607601926126e-05
"52","Montiporic Acid B",1.09305730203645e-06,1.09305730203645e-06,0,0
"53","Montiporic Acid C",3.87954165318489e-06,3.87954165318489e-06,8.8314928286775e-05,8.31651958687133e-05
"54","Montiporic Acid D",9.8714601697855e-05,5.84532708436342e-05,6.16549063239526e-05,2.05719598459231e-05
"55","N-acetyl-glutamate",0.1058356288464,0.00553728589045933,0.106542864323947,0.0140900736279436
"56","N-Acetylaspartate",0.00131070124434955,0.000326546157528085,0.00126332193370397,0.000604686422555893
"57","N-Acetylputrescine",0,0,0,0
"58","N-carbomoyl-L-aspartate",0,0,0,0
"59","NAD+",0.0422095643115427,0.00758577158212633,0.0237711940353962,0.00101459009588133
"60","NADP+",0.0132588733105719,0.00262505025710024,0.0110788068713392,0.00099934313828698
"61","NG-dimethyl-L-arginine",0,0,0,0
"62","Ornithine",0.0191188876671166,0.00456780939959403,0.0360833504713365,0.006038280562605
"63","Pantothenate",0.00203407532940588,0.000464540870554124,0.00414318692795239,0.000866798597221601
"64","Phenylalanine",0.00311412630409409,0.000276183795435905,0.00174708961536765,0.000144826016430374
"65","Phenyllactic acid",0.000367326271725444,0.000233593204158957,0.00183255437938434,0.00093355749249577
"66","Phosphocholine",1.31638852997604e-05,1.31638852997604e-05,0,0
"67","Proline",0.0526730567193235,0.00192071749578573,0.0710332384221865,0.00533235110273315
"68","Pyruvate",0.19592349909106,0.00660533101077987,0.171193315227055,0.00695439270411886
"69","Ribitol",0.0266074842791658,0.001998314373336,0.0314425924419984,0.00352438527952935
"70","Ribose phosphate",0.079969371798072,0.00363802332237305,0.0749332284414171,0.00379423088401321
"71","S-adenosyl-L-homocysteine",0,0,0,0
"72","Serine",0.0548650432254904,0.00835887381507133,0.0643597869472236,0.0085795712693363
"73","Sorbitol",0.0486471902690254,0.0025537557773064,0.0372261465927113,0.0022584979263743
"74","Succinate",0.15288960659951,0.0100474018314061,0.145848665000223,0.00771244006237474
"75","Taurine",0.0133604955729118,0.000632663313836305,0.0191700602434576,0.00110282804846784
"76","Theanine",0.000116853382058229,7.39408956896159e-05,0.000442081007026875,0.000389870891532721
"77","Thiamine",0,0,0,0
"78","Threonine",0.00443393216770901,0.000735223200443266,0.00526763358929478,0.00154016840162554
"79","Thymidine",0.000261543991905943,0.000165459311530414,0,0
"80","Thymine",0,0,0,0
"81","Tryptophan",0.0263113139098266,0.00268875763530008,0.00977932563319373,0.00109586945339975
"82","Tyrosine",0.0061041606783594,0.000799132305320415,0.00410116185141137,0.000869831442803794
"83","UDP-D-Glucose",0.0769229551464638,0.00411294923277911,0.0678152302391864,0.00836365670360862
"84","UDP-N-acetyl-glucosamine",0.021305802466567,0.0014634453990475,0.0236184157812396,0.00348271204606935
"85","UMP",0.022784129451538,0.00259952112912441,0.0228273174599573,0.00115885334357916
"86","Uracil",0.00950172645392172,0.00273080546797503,0.00981803450781516,0.00289689958555455
"87","Uric acid",0,0,0,0
"88","Uridine",0.0424057782468719,0.00529498375887944,0.0427882420016871,0.00403584252945224
"89","Valine",0.00839933575438712,0.000424230486283041,0.0162501601833446,0.00300743169049148
"90","Xylose-5-phosphate",0.150018842591927,0.0103295396669467,0.185171334370679,0.04430481850352
