"","Compound","isotope","mean","se"
"135","Lactate","Dark-13C",0.0017893046441647,0.000314341784649109
"136","Leucine","12C",0.000768175916484805,7.89384079107638e-05
"137","Leucine","13C",0.00219061022607703,8.23369222882011e-05
"138","Leucine","Dark-13C",0.000800472443360664,0.000240852114189812
"139","Lysine","12C",0.000292642441525573,3.04378257984861e-05
"140","Lysine","13C",0.019450895115294,0.000386846301108544
"141","Lysine","Dark-13C",0.00212371289200323,0.000251835424109101
"142","Malate","12C",0.00031382142352185,1.68363749584196e-05
"143","Malate","13C",0.0882589717783362,0.00091632144175934
"144","Malate","Dark-13C",0.0089067535680531,0.00100090189228709
"145","Mannose-6-phosphate","12C",7.76364180530347e-05,2.2411703430919e-05
"146","Mannose-6-phosphate","13C",0.149094750644519,0.00267166476758253
"147","Mannose-6-phosphate","Dark-13C",0.00285707407310513,0.000864648954958985
"148","Methionine sulfoxide","12C",0,0
"149","Methionine sulfoxide","13C",0.258247590456096,0.00219384591460363
"150","Methionine sulfoxide","Dark-13C",0.173095842910757,0.0038656099313515
"151","Montiporic Acid A","12C",2.29810952200493e-05,5.79433844245464e-06
"152","Montiporic Acid A","13C",3.70320370739829e-05,4.02866527865308e-06
"153","Montiporic Acid A","Dark-13C",5.84173137342158e-05,2.64997204872694e-05
"154","Montiporic Acid B","12C",1.73612709310554e-05,3.40559845971296e-06
"155","Montiporic Acid B","13C",5.46528651018223e-07,1.57769231892607e-07
"156","Montiporic Acid B","Dark-13C",0.000190723345494946,5.51639526679393e-05
"157","Montiporic Acid C","12C",1.73817103962546e-05,2.71630319912446e-06
"158","Montiporic Acid C","13C",4.60972349699799e-05,1.20324955368002e-05
"159","Montiporic Acid C","Dark-13C",0,0
"160","Montiporic Acid D","12C",3.00733138815397e-05,4.3123830971354e-06
"161","Montiporic Acid D","13C",8.01847540109038e-05,8.67918585845306e-06
"162","Montiporic Acid D","Dark-13C",8.4029360992691e-05,2.47949308506937e-05
"163","N-acetyl-glutamate","12C",0.00075149623639322,0.000111159537358457
"164","N-acetyl-glutamate","13C",0.106189246585173,0.00208367449362218
"165","N-acetyl-glutamate","Dark-13C",0.00229272273716102,0.00114636136858051
"166","N-Acetylaspartate","12C",0.000339749790800675,7.3277311680932e-05
"167","N-Acetylaspartate","13C",0.00128701158902676,9.45986881002799e-05
"168","N-Acetylaspartate","Dark-13C",0,0
"169","N-Acetylputrescine","12C",0,0
"170","N-Acetylputrescine","13C",0,0
"171","N-Acetylputrescine","Dark-13C",0,0
"172","N-carbomoyl-L-aspartate","12C",0,0
"173","N-carbomoyl-L-aspartate","13C",0,0
"174","N-carbomoyl-L-aspartate","Dark-13C",0,0
"175","NAD+","12C",0.0004605051352559,7.11663402751187e-05
"176","NAD+","13C",0.0329903791734695,0.00132409684344167
"177","NAD+","Dark-13C",0.00418528777051652,0.00158448022929292
"178","NADP+","12C",0.00253869773539928,0.000320227160667929
"179","NADP+","13C",0.0121688400909555,0.000398026488770625
"180","NADP+","Dark-13C",0.00358650858221815,0.000663010631832253
"181","NG-dimethyl-L-arginine","12C",0,0
"182","NG-dimethyl-L-arginine","13C",0,0
"183","NG-dimethyl-L-arginine","Dark-13C",0,0
"184","Ornithine","12C",0.000669499382891622,7.88292245413315e-05
"185","Ornithine","13C",0.0276011190692265,0.00127701871298765
"186","Ornithine","Dark-13C",0.00308820572931828,0.000824342050018068
"187","Pantothenate","12C",0.000171078928452272,3.33261758431966e-05
"188","Pantothenate","13C",0.00308863112867913,0.000163529559119828
"189","Pantothenate","Dark-13C",0.00060571107342248,0.000188182167158205
"190","Phenylalanine","12C",0.000147518789446686,2.64860715080271e-05
"191","Phenylalanine","13C",0.00243060795973087,7.33571321656064e-05
"192","Phenylalanine","Dark-13C",8.44273384736247e-05,4.22136692368123e-05
"193","Phenyllactic acid","12C",0.000953974704975958,0.000243002662653564
"194","Phenyllactic acid","13C",0.00109994032555489,0.000146989017161585
"195","Phenyllactic acid","Dark-13C",0.0026632071276655,0.000669972959676952
"196","Phosphocholine","12C",6.62859993260117e-05,1.91351197771881e-05
"197","Phosphocholine","13C",6.58194264988021e-06,1.90004318034951e-06
"198","Phosphocholine","Dark-13C",0,0
"199","Proline","12C",0.000559297767536003,6.7483934856194e-05
"200","Proline","13C",0.061853147570755,0.00111661650043622
"201","Proline","Dark-13C",0.000762154509523827,0.000369068278927223
"202","Pyruvate","12C",0.00179229659153068,0.000146679328970307
"203","Pyruvate","13C",0.183558407159058,0.00170311754607668
"204","Pyruvate","Dark-13C",0.00655265292194044,0.000845095837027392
"205","Ribitol","12C",0.0070299363849486,0.000530760496422756
"206","Ribitol","13C",0.0290250383605821,0.000595951922313976
