Compound,Label,Blank1,Blank2,Blank3,Blank4,Blank5,12C_Ambient-A1_I7,12C_Ambient-A2_I8,12C_Ambient-A3_I9,12C_Ambient-A4_I10,12C_Ambient-A5_I11,12C_Ambient-A6_I12,12C_High-H1_I27,12C_High-H2_I28,12C_High-H3_I29,12C_High-H4_I30,12C_High-H5_I31,12C_High-H6_I32,13C_Ambient-A1_I1,13C_Ambient-A2_I2,13C_Ambient-A3_I3,13C_Ambient-A4_I4,13C_Ambient-A5_I5,13C_Ambient-A6_I6,13C_High-H1_I21,13C_High-H2_I22,13C_High-H3_I23,13C_High-H4_I24,13C_High-H5_I25,13C_High-H6_I26,Dark13C_Ambient-Pool_I19,Dark13C_Ambient-Pool_I20,Dark13C_High-Pool_I39,Dark13C_High-Pool_I40
Homoarginine,6,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homoarginine,7,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glucose-6-phosphate,0,0.942572715,0.962927046,0.713256208,0.7120445,0.768589388,0.993797919,0.995655671,0.992476773,0.99110175,0.9938628,0.996602526,0.979557942,0.984679005,0.983465505,0.98886024,0.988549206,0.992932984,0.450167621,0.419440871,0.415116009,0.41120151,0.490187689,0.465368755,0.541830332,0.469832701,0.496968547,0.559563015,0.530778238,0.502434041,0.958752745,0.961521879,0.973776112,0.964035116
Glucose-6-phosphate,1,0.033662968,0.03364705,0.012919699,0.008070014,0.029863547,0,0,0,0.001908384,0,0,0,0,0,0,0,0,0.180745474,0.176729573,0.173429854,0.170892949,0.17402891,0.183144606,0.153317071,0.160735539,0.163735722,0.159821901,0.154831349,0.162977898,0.016613328,0.020350052,0.010377816,0.022846722
Glucose-6-phosphate,2,0.023764317,0.003425905,0.228776164,0.228857302,0.133469963,0.005982345,0.004344329,0.007523227,0.006989866,0.0061372,0.003397474,0.020442058,0.01317514,0.016534495,0.010293285,0.011450794,0.007067016,0.159515832,0.174361969,0.176232728,0.172627375,0.150210145,0.169167591,0.129881458,0.143223191,0.141964526,0.129396699,0.13064666,0.1323137,0.023382828,0.018128069,0.015590791,0.012895855
Glucose-6-phosphate,3,0,0,0.04504793,0.051028184,0.068077101,0.000219736,0,0,0,0,0,0,0.002145855,0,0.000846475,0,0,0.120963429,0.1289062,0.136793076,0.13589015,0.107917892,0.109486162,0.102558996,0.116267725,0.111835851,0.085624959,0.105764458,0.114862929,0,0,0.000255282,0.000222308
Glucose-6-phosphate,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063364672,0.071519056,0.069226385,0.07657187,0.05636388,0.053580225,0.051458496,0.075079476,0.061686513,0.047807843,0.056011129,0.062332652,0.001251099,0,0,0
Glucose-6-phosphate,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022246834,0.02744406,0.026113331,0.02864681,0.019561091,0.017582723,0.018568587,0.034430697,0.022775925,0.016331364,0.020335271,0.024624939,0,0,0,0
Glucose-6-phosphate,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002996139,0.001598271,0.003088617,0.004169336,0.001730393,0.001669938,0.00238506,0.000430671,0.001032916,0.00145422,0.001632894,0.000453842,0,0,0,0
Phosphocholine (+HAc),0,1,0.89542227,1,1,1,1,1,1,1,0.994431976,1,1,1,1,1,1,1,1,1,0.999447117,1,1,1,1,1,1,1,1,1,1,1,1,1
