label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Blank4,Blank5,12C_Ambient-A1_I7,12C_Ambient-A2_I8,12C_Ambient-A3_I9,12C_Ambient-A4_I10,12C_Ambient-A5_I11,12C_Ambient-A6_I12,12C_High-H1_I27,12C_High-H2_I28,12C_High-H3_I29,12C_High-H4_I30,12C_High-H5_I31,12C_High-H6_I32,13C_Ambient-A1_I1,13C_Ambient-A2_I2,13C_Ambient-A3_I3,13C_Ambient-A4_I4,13C_Ambient-A5_I5,13C_Ambient-A6_I6,13C_High-H1_I21,13C_High-H2_I22,13C_High-H3_I23,13C_High-H4_I24,13C_High-H5_I25,13C_High-H6_I26,Dark-13C_Ambient-Pool_I19,Dark-13C_Ambient-Pool_I20,Dark-13C_High-Pool_I39,Dark-13C_High-Pool_I40
,1,1,32,112.051903,2.838,0.850879,[M-H]-,,Creatinine,Creatinine,C4H7N3O,0.108,2.383087,112.051903,11996.39,5344.09,1389.6,2404.69,1923.5,27648.8,25733.16,19150.54,49139.74,34124.23,16832.68,30623.83,21784.78,23816.6,50813.86,19173.01,19457.91,25267.42,31335.22,27607.71,33466.62,42190.95,30150.08,21658.04,19334.37,16298.73,30354.04,85555.16,30214.17,71723.88,34505.75,22371.16,34580.04
,3,3,11,135.031448,2.856,0.796605,[M-H]-,,Hypoxanthine,Hypoxanthine,C5H4N4O,0.136,1.582027,135.031448,17628.28,5268.36,4831.21,4680.68,2564.85,34766.52,33356.73,14662.73,22279.94,23810.58,28493.12,19887.27,25273.95,31788.9,25506.06,15461.21,14608.53,62360.11,52091.54,23236.05,21995.24,44117.59,60837.5,30159.44,14602.97,43745.96,43124.78,23202.26,22949.37,11825.67,19306.24,42744.75,27465.97
,4,4,28,243.062576,2.869,0.856567,[M-H]-,C12 PARENT,Uridine,Uridine,C9H12N2O6,0.219,1.318323,243.062576,0,1311.84,770.57,662.87,877.15,644097.06,389369.59,117327.4,613360.19,391815.41,392767.09,415140.91,269497.19,401251.75,139119.75,121981.81,237474.88,1175376.38,713817.31,230616.19,450245.22,561042.06,1276836.12,431662.25,274038.47,598949.44,1521550.88,547855.5,502665.22,87136.88,135761.48,35447,78779.49
,4,5,1,244.066055,2.88,0.666515,,C13-label-1,Uridine,Uridine,C9H12N2O6,0.23,1.813057,243.062576,0,0,0,0,0,120428.18,115758.95,52482.48,108936.52,89062.98,74659.54,93375.35,101315.81,114897.84,62900.44,43863,79962.65,259207.38,177464.08,83804.66,115507.34,160470.5,289713.59,112534.38,86453.72,169509.14,290062.72,135633.67,142334.56,35327.14,59648.38,39702.64,36811.99
,4,12,5,245.067352,2.797,0.826359,,C13-label-2,Uridine,Uridine,C9H12N2O6,0.147,6.599904,243.062576,6751.28,1995.09,2652.51,2003.63,2044.14,8461.76,44199.08,47881.49,5500.43,33261.13,3314.43,24712.78,75133.91,47417.7,36312.63,38697.18,18060.5,59383.52,39328.46,53207.42,20496.41,34364.02,70253.71,59048.47,14313.09,31661.63,54021.36,33059.66,25201.3,10340.32,9231.9,17435.67,30379.46
,4,13,4,246.071259,2.843,0.729166,,C13-label-3,Uridine,Uridine,C9H12N2O6,0.193,4.340656,243.062576,0,0,0,0,0,2779.64,5754.22,6463.2,1541.74,3827.97,2579.23,1798.76,8122.59,4281.14,5292.07,5979.41,3242.61,40819.89,30960.72,10535.94,12294.45,18110.51,42885.7,17631.36,9131.49,23699.67,34752.92,17745.99,16335.28,1282.88,0,1488.08,3135.6
,4,6,3,247.075546,2.851,0.729483,,C13-label-4,Uridine,Uridine,C9H12N2O6,0.201,0.555818,243.062576,2281,0,0,647.12,0,0,0,1244.1,0,0,0,0,0,0,0,0,0,26368.92,22654.54,5355.4,8905.64,12472.64,25978.23,10318.08,6893.63,15783.7,23707.04,14644.84,12732.67,0,0,0,0
,4,7,4,248.078644,2.797,0.727182,,C13-label-5,Uridine,Uridine,C9H12N2O6,0.147,1.599202,243.062576,10527.85,1958.31,1269.42,1367.67,714.44,2932.77,11195.91,1885.69,1826.09,2000.96,930.47,1461.93,4768.54,4793.8,2094.05,1972.11,2050.62,10522.8,13588.04,6987.01,6013.48,5955.59,18433.02,12739.15,6663.07,9949.4,15380.87,7245.87,9485.03,1140.43,0,1630.88,2114.84
,4,8,0,249.082321,2.836,0.163585,,C13-label-6,Uridine,Uridine,C9H12N2O6,0.186,0.24504,243.062576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1507.39,4473.13,2378.01,1085.36,1159.59,0,2929.58,3960.87,1105.83,4840.4,6565.74,3243.52,2771.12,0,0,0,0
,14,14,28,266.089691,2.825,0.856885,[M-H]-,C12 PARENT,Adenosine,Adenosine,C10H13N5O4,0.225,0.802824,266.089691,9298.25,53689.34,3926.66,876.43,719.76,1141523.88,951739.19,135835.61,1151352.88,1047757.81,968953.56,1244378.88,832280.69,884191.69,588733.56,531692.81,952337.81,2082010.5,1539378.38,712717.44,1191160.62,1361182.38,2283174,1212516.88,867847.31,1505266.62,2175075,1406725.5,1233704.38,330068.94,278002.72,104836.1,133759.27
